German;English
garantieren;to guarantee
Gartenarbeit, die, -en;gardening
Gaspedal, das, -e;gas pedal / accelerator
Gebäudereinigungs-Unternehmen, das, -;building cleaning company
Gebirge, das, -;mountain range / mountains
Geburtstagsfeier, die, -n;birthday party / birthday celebration
Geburtstagsgeschenk, das, -e;birthday gift / birthday present
Geburtstagswunsch, der, “-e;birthday wish
Gefahr, die, -en;danger / risk / hazard
Gefühl, das, -e;feeling / emotion / sensation
Gegenstand, der, “-e;object / item / subject
Gegenwart, die, Sg.;present / present time
Gehaltsabrechnung, die, -en;payroll statement / salary slip
Gehhilfe, die, -n;walking aid
gehören (in);to belong (in)
gehören (zu);to belong (to) / to be part (of)
geistig;mental / intellectual / spiritual
gelangweilt;bored
Gelegenheit, die, -en;opportunity / chance
Gemeindefinanzen, Pl.;municipal finances
Gemeinderat/-rätin, der/die, “-e/-nen;municipal councilor
Gemeinderatsitzung, die, -en;municipal council meeting
Gemeinschaftsgefühl, das, Sg.;sense of community / togetherness
Generation, die, -en;generation
genügend;enough / sufficient
gepflegt;well-groomed / tidy / cultivated
gering;low / small / slight
Geschäftsführer/in, der/die, -/-nen;managing director / CEO
Geschäftsführung, die, -en;executive board / management
Geschäftsidee, die, -n;business idea
Geschäftsplan, der, “-e;business plan
Geschäftsraum, der, “-e;business premises / office space
Geschwindigkeitsbeschränkung, die, -en;speed limit
Gesellschaft, die, -en;society / company / companionship
gesellschaftlich;social / societal
Gesetz, das, -e;law
gesetzlich;legal / by law / statutory
Gesprächsforum, das, -foren;discussion forum
Gesprächspartner/in, der/die, -/-nen;conversation partner / interlocutor
Gesundheitswesen, das, Sg.;healthcare system
Gewerbe, das, -;business / trade / commercial enterprise
Gewinn, der, -e;profit / gain / winnings
gewinnen;to win / to gain
Gewinner/in, der/die, -/-nen;winner
Gewinnspiel, das, -e;competition / sweepstakes / prize draw
Gewinnung, die, Sg.;extraction / production / winning
Gewissen, das, Sg.;conscience
gewohnt;accustomed / used to
giftig;poisonous / toxic
Gips, der, Sg.;cast / plaster
gleichberechtigt;equal in rights / with equal opportunities
Gleichberechtigung, die, Sg.;equal rights / gender equality
GmbH = Gesellschaft mit beschränkter Haftung, die;limited liability company (LLC)
Golf, das, Sg.;golf
Grippeerkrankung, die, -en;flu illness / influenza
Grippeimpfung, die, -en;flu vaccination
Grippesaison, die, Sg.;flu season
Grippeschutzimpfung, die, -en;flu shot / influenza vaccination
Großfamilienleben, das, Sg.;large family life / extended family life
Grünanlage, die, -n;green space / park
Grundgesetz, das, Sg.;Basic Law (German constitution)
Grundlage, die, -n;basis / foundation
Gruppenreise, die, -n;group tour / group travel
