English;German
nail;der Nagel, -
napkin;die Serviette, -n
Never mind! It doesn't matter!;Das macht nichts!
the news (plural);die Nachrichten, Pl
NK = utilities, additional costs;NK = die Nebenkosten, Pl.
No idea!;Keine Ahnung!
No problem! Don't mention it!;Keine Ursache!
non-profit, charitable;gemeinnützig
normal;normal
normally, usually;normalerweise
nose drops;die Nasentropfen, Pl.
to notice;merken
notice board, bulletin board;das Schwarze Brett
notice, posted advertisement;der Aushang, -¨e
nutrition, diet;die Ernährung, Sg.
