English;German
A4 paper;das A4-Papier, Sg.
ability, capability;die Fähigkeit, -en
about the vacation;vom Urlaub
above all, especially;vor allem
above/upstairs;oben
absence/lack;Fehlen
absolutely sure;ganz sicher
absolutely/definitely;unbedingt
to accept;annehmen
accident;Unfall
the accident;der Unfall, -e
an accident;einen Unfall
accommodation;die Unterkunft, -e
account;das Konto, Konten
account fee;die Kontogebühr, -en
account number;Kontonummer
the account number;die Kontonummer, -n
accountant;Buchhalter
accounting, accounts department;die Buchhaltung, -en
to acknowledge, acknowledges, has acknowledged;anerkennen, erkennt an, hat anerkannt
to acknowledge/recognize;anerkennen
acquaintance;der/die Bekannte, -en
acquaintance (dative/plural);Bekannten
to acquire, to obtain, to buy;besorgen
active;aktiv
active vacation;Aktivurlaub
activity, job duties;die Tätigkeit, -en
Actually quite good;Eigentlich ganz gut
actually, really;eigentlich
actually/really;eigentlich
additional costs/utilities;Nebenkosten
the additional costs/utilities;die Nebenkosten, Pl
address;Adresse
the address;die Adresse
the address book, address books;das Adressbuch, -er
to address formally (use "Sie");siezen
to address informally (use "du");duzen
the address, addresses;die Adresse, -n
to adjust to;sich einstellen auf
to admit, to concede;einräumen
adult;der/die Erwachsene, -n
adult education center/community college;Volkshochschule
adults (dative/genitive plural);Erwachsenen
advanced learner, intermediate;der/die Fortgeschrittene, -n/-n
advantage;der Vorteil, -e
the advantage;der Vorteil, -e
advantage/benefit;Vorteil
the advertisement/commercial, advertisements;die Werbung, -en
advertisement/display;Anzeige
to advise/consult;beraten
to advise/consult, advises, has advised;beraten, berät, hat beraten
to advocate for, to campaign for;sich einsetzen für
after that, afterwards;danach
after that/afterwards;danach
after/to;nach
after/to/toward;nach
afternoon;Nachmittag
Afterwards she chills / relaxes;Danach chillt sie
again;wieder
against it/on the other hand;dagegen
agency;die Agentur, -en
agreement (by appointment/arrangement);Vereinbarung (nach Vereinbarung)
airplane;Flugzeug
the airplane;das Flugzeug, -e
airport;Flughafen
the airport;der Flughafen, -
all;alle
All about money;Rund ums Geld
All about the Internet;Rund ums Internet
all day;ganzen Tag
all day, the whole day;ganzen Tag
All the best!;Alles Gute!
all together again;alle zusammen wieder
all/everyone;alle
allotment garden association;der Kleingartenverein, -e
almost;fast
alone;allein, alleine
alphabet;Alphabet
already;schon
already dark early;schon früh dunkel
already full again;schon wieder voll
already grown up;schon erwachsen
already so late;schon so spi
also;auch
also a little bit more;auch noch ein bisschen
also brings chewing gum along;bringt auch noch Kaugummis mit
also comes along;auch mit
also gladly;auch gern
also important;auch wichtig
also jog;joggen auch
also other hobbies;auch noch andere Hobbys
also plays (theater) / also pieces;auch Stücke
to also sign at the bottom;unten noch unterschreiben
also something;auch etwas
also something on / also something at;auch etwas an
also the bicycle;auch das Fahrrad
Also went to school;Sind auch zur Schule gegangen
also/too;auch
always;immer
always liked to go;ist immer gern gegangen
always something;immer etwas
always something interesting;immer etwas Interessantes
always something new;immer etwas Neues
always the train;immer den Zug
always very nice;immer sehr nett
ambulance;Krankenwagen
the ambulance;der Krankenwagen, -
and;und
animals;Tiere
anniversary (often a milestone);das Jubiläum, Jubiläen
annoyed/irritated;genervt
annoying;ärgerlich
annoying once again;wieder mal ärgerlich
annoying, irritating;ärgerlich
to answer;antworten
answering machine;Anrufbeantworter
Anything else?;Sonst noch etwas
An apartment building;Ein Mehrfamilienhaus
apartment building, tenement house;Mietshaus
apartment building/multi-family house;Mehrfamilienhaus
apartment/flat;Wohnung
the apartment/flat, apartments;die Wohnung,-en
to apologize;sich entschuldigen
apology;Entschuldigung
the apology/excuse;die Entschuldigung, -en
the app, apps;die App, -S
appendicitis;Blinddarmentzündung
appetite;Appetit
appetizer, starter;die Vorspeise, -n
apple;der Apfel
apple juice;Apfelsaft
the apple juice, apple juices;der Apfelsaft, -e
the apple, apples;der Apfel, -
Apple, Orange, Banana, Sausage;Apfel, Orange, Banane, Wurst
application;die Bewerbung, -en
the application;der Antrag, -e
application documents;die Bewerbungsunterlagen, Pl.
application photo;das Bewerbungsfoto, -s
to apply (for);sich bewerben (um)
to apply for;beantragen
to apply for housing benefit;auf Wohngeld stellen
to apply for, to request;beantragen
appointment;Termin
the appointment;der Termin, -e
apprenticeship position, training place;der Ausbildungsplatz, -¨e
approximately/about;ungefähr
April;der April
the architect (male/female);der/die Architekt/in,-en/-nen
are open;haben geöffnet
are painting right now;malen gerade
Are you also new here in the building?;Sind Sie auch neu hier im Haus?
Are you going shopping?;Gehst du einkaufen
Are you satisfied with your life?;Sind zufrieden mit Ihrem Leben
to argue;sich streiten
to argue/fight;streiten
to argue/fight, argues, has argued;streiten, streitet, hat gestritten
the arm and the leg;der Arm und das Bein
armchair;Sessel
the armchair, armchairs;der Sessel, -
around - to drive around the corner;um - um die Ecke fahren
around/at;um
to arrange to meet, to make a date;sich verabreden
to arrange, to schedule (an appointment);vereinbaren
arrival;Ankunft
the arrival;die Ankunft
arrival (travel);Anreise
to arrive;ankommen
to arrive, arrives, has arrived;ankommen, kommt an, ist angekommen
to arrive, have arrived;ankommen, sind angekommen
art;die Kunst, Sg.
article;Artikel
as a taxi driver;als Taxifahrer
as well as;sowie
as, when, than;als
as: He works as an educator.;als: Er arbeitet als Erzieher.
Asian shop;Asienladen
to ask;fragen
to ask a question;eine Frage stellen
asks, questions, interrogates;befragt
at - at nine o'clock;um - um neun Uhr
at (time);um
at all (not at all);überhaupt (nicht)
at any time, anytime;jederzeit
at half past six;um halb sieben
at home;zu Hause
at least;mindestens
at night;in der Nacht
at nine o'clock;Um neun Uhr
at noon;am Mittag
at quarter to six;um Viertel vor sechs
at the beginning;am Anfang
At the community college / adult education center;Bei der Volkshochschule
at the edge of the Alps, in the Alpine foothills;am Alpenrand
at the foreigners' registration office;Beim Ausländeramt
at the housing office;Beim Wohnungsamt
at the moment, currently;zurzeit
At the registration office;Bei der Meldestelle
at the registration office (for residents);Bei der Meldestelle
at the registry office;Beim Standesamt
at the residents' registration office;Beim Einwohnermeldeamt
at three years old;mit drei Jahren
At what time?;Um wie viel Uhr?
at/near;bei
at/on;an
the ATM/cash machine;der Geldautomat, -en
to attach;anhängen
the attachment,;der Anhang,
attic floor, top floor;Dachgeschoss
attic/loft;Dachgeschoss
the attic/loft, attics;das Dachgeschoss, -e
to audition/speak beforehand;vorsprechen
August;der August
aunt;Tante
the aunt, aunts;die Tante,-n
Austria;Österreich
authority/office;Behörde
the authority/office;die Behörde, -n
automaton/vending machine;Automat
automotive mechatronics technician;der/die Kfz-Mechatroniker/in, -/-nen
autumn/fall;Herbst
the autumn/fall;der Herbst
the average (singular);der Durchschnitt, Sg.
average/on average;durchschnittlich
to avoid;vermeiden
to be afraid/have fear;Angst haben
to be allowed/may;dürfen
to be annoyed (about), to get angry (about);sich ärgern (über)
to be available/on display;aufliegen
an idea;eine Idee
A visit to the doctor;Ein Besuch beim Arzt
