German;English
Pannendienst, der, -e;breakdown service
Parfüm, das, -s/-e;perfume
Partei, die, -en;political party
Partner/in, der/die, -/-nen;partner
Passwort, das, -¨er;password
Pausenregel, die, -n;break rule(s)
per (hier: per Post);by (here: by post/mail)
Personalberater/in, der/die, -/-nen;recruitment consultant, personnel consultant
Personenbeförderungsschein, der, -e;passenger transport license
persönlich (hier: persönliche Daten);personal (here: personal details)
Pfiff, der, -e;whistle; flair
Pflaster, das, -;band-aid, plaster; pavement
Pflegedienst, der, -e;care service, nursing service
Physik, die, Sg. (hier: Schulfach);physics (here: school subject)
Pilot/in, der/die, -en/-nen;pilot
PIN, die, -s;PIN (personal identification number)
Pinzette, die, -n;tweezers
pitschnass;soaking wet
PKW, der, -s;passenger car, motor vehicle
Plakat, das, -e;poster
planen;to plan
Platz nehmen;to take a seat
Platzreservierung, die, -en;seat reservation
plötzlich;suddenly
plus;plus
Politik, die, Sg.;politics
Polizist/in, der/die, -en/-nen;police officer
Pommes, Pl.;fries, chips
Portemonnaie, das, -s;wallet, purse
Posteingang, der, -¨e;inbox (mail)
Poster, das, -;poster
Praktikum, das, Praktika;internship, work placement
Praline, die, -n;chocolate, praline
Präsentation, die, -en;presentation
privat;private
Privatkonto, das, -konten;personal account
Privatleben, das, Sg.;private life
Privatschule, die, -n;private school
professionell;professional
Projekt, das, -e;project
Prosit Neujahr!;Happy New Year!
Prospekt, der, -e;brochure, leaflet
Prozent, das, -e;percent
prüfen;to check, to examine
Prüfung, die, -en;exam, test
pünktlich;punctual, on time
putzen;to clean
