German;English
Sagt mal;Say / Tell me (colloquial plural)
dem Auto;by car (dative after "mit")
dem Zug;by train (dative after "mit")
dem Bus;by bus (dative after "mit")
der Straßenbahn;by tram (dative after "mit")
der U-Bahn;by subway (dative after "mit")
zu Fuß;on foot
auch das Fahrrad;also the bicycle
die Fahrräder;the bicycles
30 Kilometer weit weg;30 kilometers away
Leider;unfortunately
muss also immer den Zug nehmen;must therefore always take the train
Wir wohnen ja nicht weit von hier;We don't live far from here indeed
Oft nehmen;Often take
