German;English
bin;I am (present)
war;I was (simple past)
bin gewesen;I have been (present perfect)
war gewesen;I had been (past perfect)
werde sein;I will be (future 1)
werde gewesen sein;I will have been (future perfect)
bist;you are (present, singular informal)
warst;you were (simple past)
bist gewesen;you have been (present perfect)
warst gewesen;you had been (past perfect)
wirst sein;you will be (future 1)
wirst gewesen sein;you will have been (future perfect)
ist;he/she/it is (present)
war;he/she/it was (simple past)
ist gewesen;he/she/it has been (present perfect)
war gewesen;he/she/it had been (past perfect)
wird sein;he/she/it will be (future 1)
wird gewesen sein;he/she/it will have been (future perfect)
sind;we are (present)
waren;we were (simple past)
sind gewesen;we have been (present perfect)
waren gewesen;we had been (past perfect)
werden sein;we will be (future 1)
werden gewesen sein;we will have been (future perfect)
seid;you are (present, plural informal)
wart;you were (simple past)
seid gewesen;you have been (present perfect)
wart gewesen;you had been (past perfect)
werdet sein;you will be (future 1)
werdet gewesen sein;you will have been (future perfect)
sind;they / you (formal) are (present)
waren;they / you (formal) were (simple past)
sind gewesen;they / you (formal) have been (present perfect)
waren gewesen;they / you (formal) had been (past perfect)
werden sein;they / you (formal) will be (future 1)
werden gewesen sein;they / you (formal) will have been (future perfect)
