German;English
Wald;forest
Walzer;waltz
Wand;wall
wandern;to hike
Wandertour;hiking tour
wann;when
warm;warm
Warmmiete;warm rent (rent including utilities)
warten;to wait
Wartenummer;(likely typo) waiting number/ticket (Wartenummer/Wartemarke)
Warteraum;waiting room
Waschbecken;washbasin/sink
Waschmaschine;washing machine
Wasser;water
Wasserlabyrinth;water maze/labyrinth
Wasserweg;waterway
wechseln;to change/exchange
Weg;way/path
wegfahren;to drive away/leave
wehtun;to hurt/ache
weiblich;female/feminine
Wein;wine
weiß;white
Weißbrot;white bread
weit;far/wide
weiterfahren;to continue driving
welcher;which
wem;whom (dative of wer)
wenig;little/few
wer;who
Werkstatt;workshop/garage
Westen;west
Wetter;weather
Wetterkarte;weather map
wichtig;important
wie;how/as/like
Wie bitte?;Pardon?/Come again?
wie viele;how many
wieder;again
Wiese;meadow
willkommen;welcome
Wind;wind
windig;windy
Winter;winter
Winterjacke;winter jacket
Winterschlussverkauf;winter sale
wirklich;really
wissen;to know (fact)
wo;where
Woche;week
Wochenende;weekend
woher;from where
wohin;where to
wohnen;to live/reside
Wohnort;place of residence
Wohnung;apartment/flat
Wohnzimmer;living room
Wolke;cloud
wollen;to want
Wörterbuch;dictionary
wunderbar;wonderful
Wunsch;wish
Wurst;sausage
Wurstplatte;sausage platter
