English;German
package holiday / package tour;Pauschalreise, die, -n
packaging waste;Verpackungsmüll, der, Sg.
pain / ache;Schmerz, der, -en
pain / aches;Schmerzen, die, Pl.
painting company;Malerfirma, die, -firmen
pantsuit / trouser suit;Hosenanzug, der, “-e
parental home / childhood home;Elternhaus, das, “-er
parental interest;Elterninteresse, das, -n
parental leave;Elternzeit, die, Sg.
parenting method / education method;Erziehungsmethode, die, -n
parents-in-law;Schwiegereltern, Pl.
parents' advisory council;Elternbeirat, der, “-e
parking space / storage place;Abstellplatz, der, “-e
parliament;Parlament, das, -e
parrot;Papagei, der, -en
part-time / half-day;halbtags
part-time employment / sideline;Nebenerwerbstätigkeit, die, Sg.
partial comprehensive insurance;Teilkaskoversicherung, die, -en
partnership / relationship / companionship;Partnerschaft, die, -en
passenger;Passagier/in, der/die, -e/-nen
passenger (on vehicle);Fahrgast, der, “-e
passenger air traffic;Passagier-Flugverkehr, der, Sg.
passenger airplane;Passagierflugzeug, das, -e
past;Vergangenheit, die, Sg.
patchwork family;Patchworkfamilie, die, -n
payment method;Zahlungsmethode, die, -n
payroll accounting / salary statement;Entgeltabrechnung, die, -en
payroll statement / salary slip;Gehaltsabrechnung, die, -en
PDF attachment;PDF-Anhang, der, “-e
PDF format;PDF-Format, das, Sg.
peace;Frieden, der, Sg.
pedestrian;Fußgänger/in, der/die, -/-nen
pedestrian zone / pedestrian area;Fußgängerzone, die, -n
pension / retirement benefit;Rente, die, -n
pension insurance;Rentenversicherung, die, -en
people / nation;Volk, das, “-er
per / for / in favor of;pro
performance / appearance / act;Auftritt, der, -e
period / time interval / timespan;Zeitraum, der, “-e
permanent employment / full-time position;Festanstellung, die -en
personal / in person;persönlich
personal injury / bodily harm;Personenschaden, der, “-
pessimistic;pessimistisch
petroleum / crude oil;Erdöl, das, Sg.
phase of life / life stage;Lebensabschnitt, der, -e
physical / bodily;körperlich
physical therapy;Physiotherapie, die, -n
physically fit;körperlich fit
piano;Klavier, das, -e
pig;Schwein, das, -e
plan;Plan, der, “-e
planning;Planung, die, -en
plant;Pflanze, die, -n
plant species;Pflanzenart, die, -en
plastic bag;Plastiktüte, die, -n
plastic cup;Plastikbecher, der, -
poisonous / toxic;giftig
police;Polizei, die, Sg.
political;politisch
political party;Partei, die, -en
politician;Politiker/in, der/die, -/-nen
pollutant / harmful substance;Schadstoff, der, -e
pollution / contamination;Verschmutzung, die, Sg.
population / number of inhabitants;Einwohnerzahl, die, -en
population development / demographic change;Bevölkerungsentwicklung, die, -en
position;Position, die, -en
positive;positiv
possibly / perhaps / eventually;eventuell
postage stamp;Briefmarke, die -n
precaution / prevention / check-up;Vorsorge, die
pregnancy exercise / prenatal gymnastics;Schwangerschaftsgymnastik, die, Sg.
pregnant;schwanger
preliminary discussion / initial consultation;Vorgespräch, das, -e
preparation;Vorbereitung, die, -en
present / present time;Gegenwart, die, Sg.
president;Präsident/in, der/die, -en/-nen
prevention;Vorbeugung, die, -en
price negotiation;Preisverhandlung, die, -en
prick / jab / sting;Pieks, der, -e
printing press / printing machine;Druckmaschine, die, -n
probably / likely;wahrscheinlich
probably / likely / well;wohl
processing / editing / handling;Bearbeitung, die, -en
product;Produkt, das, -e
production;Produktion, die, -e
production worker;Produktionsmitarbeiter/in, der/die, -/-nen
professional life / working life;Berufsleben, das, Sg.
profit / gain / winnings;Gewinn, der, -e
profitable;rentabel
progress / advancement;Fortschritt, der, -e
progressive / advanced;fortschrittlich
promise;Versprechen, das, -
prosperity / wealth / affluence;Wohlstand, der, Sg.
protection against dismissal / job security;Kündigungsschutz, der, Sg.
Protestant / Evangelical;evangelisch
proud;stolz
psychological / mental;psychisch
psychotherapist;Psychotherapeut/in, der/die,-en/-nen
psychotherapy;Psychotherapie, die, -n
public / general public;Öffentlichkeit, die, Sg.
pulse;Puls, der, Sg.
purchase contract / sales agreement;Kaufvertrag, der, “-e
purchasing department;Einkaufsabteilung, die, -en
