English;German
ugly;hässlich
uncertain, insecure;unsicher
uncle;Onkel
uncomfortable;unbequem
uncomfortable/uncozy;ungemütlich
uncomplicated;unkompliziert
uncool;uncool
under;unter
under/below;unter
underwear;Unterwäsche
unfortunately;Leider
unfortunately boring;leider langweilig
Unfortunately I earn;Leider verdiene
unfortunately no longer lives;lebt leider nicht mehr
unfortunately not;leider nicht
Unfortunately not here at the moment;Moment leider nicht da
unfortunately only;leider nur
unfortunately very difficult;leider sehr schwer
Unfortunately, I don't have the exact change;Ich habe es leider nicht passend
unfriendly;unfreundlich
unique;einzigartig
unique (feminine/plural adjective);einzigartige
university entrance qualification, A-levels equivalent;das Abitur, Sg.
university place;der Studienplatz, -e
university student;Student
unpleasant, disagreeable;unsympathisch
unsolicited application, speculative application;die Initiativbewerbung, -en
untidy/messy;unordentlich
until shortly before five;bis kurz vor fünf
until the next intersection;bis zur nächsten Kreuzung
Until when;Bis wann
upper floor;Obergeschoss
urgent;dringend
urgent/urgently;dringend
urgently an apartment;dringend eine Wohnung
USB stick/flash drive;USB-Stick
used car, second-hand car;der Gebrauchtwagen, -
useful/helpful;nützlich
utilities, additional costs;Nebenkosten
