German;English
Facharzt/Fachärztin;specialist doctor
fahren;to drive/travel
Fahrgast;passenger
Fahrkarte;ticket
Fahrrad;bicycle
Fahrradraum;bicycle room
Fahrt;trip/journey
Familie;family
Familienfoto;family photo
Familienkasse;family benefits office
Familienleben;family life
Familienname;family name/surname
Familienstand;marital status
fantastisch;fantastic
Farbe;color
fast;almost
faulenzen;to laze around
Februar;February
fehlen - Was fehlt Ihnen?;to be missing - What's wrong with you?
Fehlen;absence/lack
feiern;to celebrate
Fenster;window
Ferienwohnung;vacation apartment
fernisehen;(likely typo) to watch TV
Fernseher;television
Fest;festival/party
Festkomitee;festival committee
Feuer;fire
Feuerwehr;fire department
Fieber;fever
Fieberthermometer;fever thermometer
Film;film/movie
finden - Wie findest du ...?;to find - How do you like...?
finden - Die Straße kann man einfach finden;to find - The street is easy to find
Finger;finger
Firma;company/firm
Firmen;companies
Fisch;fish
Flasche;bottle
Fleisch;meat
Fleischwurst;meat sausage
fliegen;to fly
Flohmarkt;flea market
Flughafen;airport
Flugzeug;airplane
Fluss;river
formell;formal
Formular;form
Foto;photo
Frage;question
fragen;to ask
Frau;woman/Mrs
frei;free/available
Freitag;Friday
Freizeit;free time/leisure
Freund;friend (male)
freundlich, ( Mit freundlichen Grüßen);friendly, (Yours sincerely)
Friseur;hairdresser
Frucht;fruit
früh;early
früher;earlier/formerly
Frühling;spring
Frühstück;breakfast
frühstücken;to have breakfast
Führerschein;driver's license
Führerscheinprüfung;driving test
funktionieren;to work/function
für;for
furchtbar;terrible/awful
Fuß;foot
Fußball;soccer
Fußballballtraining;(likely typo) soccer training
Fußballverein;soccer club
Fußballspiel;soccer game
Fußgänger;pedestrian
füttern;to feed
