German;English
Haftpflichtversicherung, die, -en;liability insurance
Halbjahr, das, -e;half-year, six months
haltbar;durable, long-lasting
Hammer, der, -¨;hammer
Handtuch, das, -¨er;towel
Handwerkerkosten, Pl.;craftsman costs, tradesman costs
handwerklich;manual, craft-related, artisanal
hängen;to hang, to be hanging
häufig;frequent, often
Hauptschulabschluss, der, -¨e;secondary modern school leaving certificate
Hauptschule, die, -n;secondary modern school (German school type)
Hauptspeise, die, -n;main course
Hausapotheke, die, -n;home medicine cabinet
Hausaufgabenhilfe, die, -n;homework help, tutoring
Haushalt, der, -e;household
Hausmüll, der, Sg.;household waste
Hausratversicherung die, -en;household contents insurance
Haustier, das, -e;pet
Heim, das, Sg.;home; shelter
Heimatverein, der, -e;local heritage club
Heimwerker/in, der/die, -/-nen;DIY enthusiast, handyman
Heimwerkerkurs, der, -e;DIY course
hektisch;hectic
Helfer/in, der/die, -/-nen;helper, assistant
herausfinden;to find out, to discover
hierhin;to here, this way
Hilfe, die, -n;help, assistance
hilfsbereit;helpful, willing to help
Himmel, der, Sg.;sky
Hinflug, der, -¨e;outward flight
hinterlassen (hier: eine Nachricht hinterlassen);to leave (behind) (here: to leave a message)
historisch;historical
hoch;high
Hochzeitsfeier, die, -n;wedding celebration
Hochzeitskleidung die, Sg.;wedding clothes
Hochzeitstag, der, -e;wedding day; wedding anniversary
Hochzeitstorte, die, -n;wedding cake
hoffen;to hope
hoffentlich;hopefully
Höhe, die, -n;height, altitude
Humor, der, Sg.;humor
Hütte, die, -n;hut, cabin
