English;German
to be reachable/available;erreichbar sein
to be responsible for;zuständig sein
the radio;das Radio, -s
radio alarm clock;Radiowecker
to rain;regnen
the rain (singular);der Regen, Sg
rain gear, wet-weather clothes;die Regensachen, Pl.
rare/seldom;selten
rarely;selten
rarely on time;selten pünktlich
rarely/seldom;selten
rate, tariff;der Tarif, -e
rather on the sidewalk;lieber auf dem Bürgersteig
to read;lesen
to read a book;ein Buch lesen
to read addresses poorly;Adressen schlecht lesen
to read, I have read;lesen, ich habe gelesen
to read, reads, has read;lesen, liest, hat gelesen
really;wirklich
really interesting;wirklich interessant
really lucky;wirklich Glück
really nice photos;wirklich schöne Fotos
really not pleasant;Wirklich nicht angenehm
really practical;wirklich praktisch
really time;wirklich Zeit
really, truly;Wirklich
the reason/ground, reasons;der Grund, -e
receipt;die Quittung, -en
recipe/prescription;Rezept
the recipe/prescription;das Rezept -e
recipient;Empfänger
the recipient (male/female);der/die Empfänger/in, -/-nen
recognition/appreciation;Anerkennung
to recognize, to acknowledge;anerkennen
to recommend;empfehlen
recovery/recreation;Erholung
recruitment consultant, personnel consultant;der/die Personalberater/in, -/-nen
red;rot
refrigerator;Kühlschrank
the refrigerator, refrigerators;der Kühlschrank, -e
the refugee shelter/home, shelters;das Flüchtlingsheim, -e
to register;anmelden
to register a car;Auto anmelden
to register a new address;Wohnung anmelden
to register and deregister;anmelden und abmelden
to register, to enroll (for);sich anmelden (für)
registration;Anmeldung
registration confirmation;Anmeldebestätigung
registration form;Anmeldeformular
the registration form, registration forms;das Anmeldeformular, -e
registration office;Meldestelle
the registration office;die Meldestelle, -n
the registry office;das Standesamt ,-er
regular;regelmäßig
relatives;Verwandte
to relax;sich entspannen
relaxation;die Entspannung, Sg.
relaxing;entspannend
reliable;zuverlässig
to rely on, to depend on;sich verlassen auf
to remember;sich erinnern
to renovate, to refurbish;renovieren
renovation;die Renovierung, -en
rent;Miete
to rent;mieten
to rent out, to let;vermieten
the rent, rents;die Miete, -n
rental apartment building;Mietshaus
rental contract;Mietvertrag
the rental contract;der Mietvertrag, -e
repair;die Reparatur, -en
to repair;reparieren
to repeat after/echo;nachsprechen
report;der Bericht, -e
to report;berichten
report card, certificate;das Zeugnis, -se
the request;die Bitte, -n
request/you're welcome;Bitte
to research on the internet;im Internet recherchieren
reservation;Reservierung
the reservation;die Reservierung, -en
reservation, booking;Reservierung
to reserve;reservieren
resident, inhabitant;der/die Bewohner/in, -/-nen
resilient, able to handle stress;belastbar
rest/remainder;Rest
the restaurant;das Restaurant, -s
restaurant, pub, local establishment;das Lokal, -e
result;das Ergebnis, -se
to retain/remember new words;neue Wörter behalten
retiree, pensioner;der/die Rentner/in, -/-nen
return flight;der Rückflug, -¨e
the rice;der Reis, Sg
to ride a bike;mit dem Rad fahren
to ride the elevator;mit dem Aufzug fahren
right away, immediately;Gleich
right here nearby;Gleich hier in der Nähe
right nearby;ganz in der Nähe
right next to, immediately to the right of;gleich rechts neben
right of way;Vorfahrt
right/on the right;rechts
the ring;der Ring, -e
to ring;klingeln
the river;der Fluss, -e
the rivers;die Flüsse
roll/bun;Brötchen
romantic;romantisch
room;der Raum, -e
rose;die Rose, -n
round/approximately;rund
rule;Regel
the ruler;das Lineal
to run (quickly);rennen
to run/play: the radio is playing;laufen: das Radio läuft
to run/walk, runs, has run;laufen, läuft, ist gelaufen
runny nose, cold;Schnupfen
