German;English
gehabt;had (past participle)
Ich habe einen Hund gehabt.;I have had a dog.
gewesen;been (past participle)
Ich bin in Berlin gewesen.;I have been in Berlin.
sei;be (Konjunktiv I / imperative)
Er sagte, er sei müde.;He said he is tired.
seien;they be / we be (Konjunktiv I)
Die Lehrer sagten, wir seien gut.;The teachers said we are good.
seist;you be (Konjunktiv I – du)
Sie meint, du seist krank.;She thinks you are sick.
wäre;would be (Konjunktiv II)
Das wäre schön.;That would be nice.
wären;we would be / they would be
Wir wären gerne dabei.;We would like to be there.
wärst;you would be (singular informal)
Wenn du hier wärst …;If you were here …
wärt;you would be (plural informal – rare)
Ihr wärt schneller gewesen.;You would have been faster.
