German;English
als ob;as if
Er tut, als ob er schläft.;He acts as if he is sleeping.
als wenn;as if
Es fühlt sich an, als wenn es schneit.;It feels as if it is snowing.
anders als;different from
Das ist anders als ich dachte.;That is different from what I thought.
ähnlich wie;similar to
Das klingt ähnlich wie gestern.;That sounds similar to yesterday.
ebenso wie;equally as / just as
Das ist ebenso gut wie vorher.;That is just as good as before.
genauso wie;just as / exactly as
Er ist genauso groß wie ich.;He is just as tall as me.
gleich wie;same as
Es ist gleich wie immer.;It is the same as always.
je;the (in comparisons) – part of "je...desto"
Je mehr, desto besser.;The more, the better.
mehr als;more than
Das kostet mehr als 100 Euro.;That costs more than 100 euros.
nicht so wie;not as / not like
Das ist nicht so einfach wie gedacht.;That is not as easy as thought.
weniger als;less than
Er verdient weniger als sie.;He earns less than her.
