German;English
ob;whether, if
Oberkörper, der, -;upper body
Obstkorb, der, -¨e;fruit basket
öffentlich;public
öffentlich-rechtlich;public-law (e.g., public broadcasting)
öffnen;to open
Ohrring, der, -e;earring
Online-Anmeldung, die, -en;online registration
Online-Banking, das, Sg.;online banking
Online-Spiel, das, -e;online game
Online-Überweisung, die, -en;online transfer
Option, die, -en;option
Ordner, der, -;folder, binder
Ordnung die (hier: in Ordnung);order (here: okay, all right)
organisieren;to organize
Ostern;Easter
