English;German
rail replacement service;Schienenersatzverkehr, der, Sg.
rail traffic / train service;Bahnverkehr, der, Sg.
raw material;Rohstoff, der, -e
reality / actuality;Realität, die, Sg.
receipt;Kassenzettel, der, -
reception / receipt / welcome;Empfang, der, Sg.
rechargeable battery;Akku, der, -s
recommendation;Empfehlung, die, -en
recycling center;Recyclinghof, der, “-e
reflective vest / safety vest;Warnweste, die, -n
refugee;Flüchtling, der, -e
regulation / arrangement / settlement;Regelung, die, -en
rejection / cancellation;Absage, die, -n
rejection / cancellation / denial;Absage, die -n
relationship / affair / ratio;Verhältnis, das, -se
relationship / relation / connection;Beziehung, die, -en
renewable;erneuerbar
renewable energy;Erneuerbare Energien
report / message / announcement;Meldung, die, -en
reports and announcements;Meldungen und Durchsagen
representative / deputy;Vertreter/in, der/die, -/-nen
reputation / call;Ruf, der, Sg.
residual waste / general waste;Restmüll, der, Sg.
respectively / or (alternatively);bzw. (= beziehungsweise)
respondent / interviewee;Befragte, der/die, -n
responsibility;Verantwortung, die, Sg.
responsible / in charge;verantwortlich
rest stop / service area (highway);Raststätte, die, -n
restart / new start;Neustart, der, Sg.
resumes / CVs / life paths;Lebensläufe
retirement;Ruhestand, der, Sg.
retirement provision / old-age provision;Altersvorsorge, die, Sg.
retraining;Umschulung, die, -en
revenue / sales / turnover;Umsatz, der *-e
right / law / justice;Recht, das, -e
right of exchange / return policy;Umtauschrecht, das, Sg.
right of return / return policy;Rückgaberecht, das, Sg.
ripe / mature;reif
risk / danger / hazard;Risiko, das, Pl. Risiken
road traffic;Straßenverkehr, der, Sg.
roadway / carriageway;Fahrbahn, die, -en
rock band;Rockband, die, -s
role (here: to play a role);Rolle, die (hier: eine Rolle spielen)
role / part / function;Rolle, die, -n
roof / shelter / home;Dach, das, “-er
rude / impolite;unhöflich
rule (here: as a rule / usually);Regel, die (hier: in der Regel)
rural / countryside;ländlich
rural area;ländlicher Raum
