German;English
Dazu ist einer unserer treuen Hörer zu uns zu Besuch gekommen;A loyal listener of ours has come to visit us for this
möchte uns etwas erzählen;would like to tell us something
uns erzählen;tell us
was möchten Sie wissen;what would you like to know
Zuerst einmal;first of all
Ganz am Anfang;right at the beginning
ich weiß noch genau;I remember exactly
sie war sehr jung und sehr beliebt;she was very young and very popular
war nicht so streng;was not that strict
viele verschiedene Lehrer und Lehrerinnen;many different teachers (male and female)
die meisten waren eher streng;most were rather strict
aber viele waren auch sehr beliebt bei uns Schülern;but many were also very popular with us students
wie lange hatten Sie Unterricht;how long did you have lessons
Unser Unterricht;our lessons
angefangen;started, began
immer zu Hause;always at home
Aber das war meistens nicht so viel;but that was usually not that much
Lieblingsfach;favorite subject
Am Anfang hatte ich kein Lieblingsfach;at the beginning I didn't have a favorite subject
alles gerne gemacht;enjoyed doing everything
immer gerne Fußball gespielt;always liked to play soccer
auch heute noch spannend;still exciting today
Deshalb bin ich ja auch Ingenieur geworden;that's why I became an engineer
