German;English
scheinen;to seem / to appear / to shine
schlafen;to sleep
schließen;to close / to lock / to conclude
schreiben;to write
schwerfallen;to be difficult (for someone)
schwimmen;to swim
sehen;to see / to look / to watch
sein;to be
sitzen;to sit / to be seated
sollen;should / ought to / to be supposed to
sprechen;to speak / to talk
stattfinden;to take place / to occur
stehen;to stand / to be / to be located
steigen;to rise / to climb / to increase
sterben;to die
streichen;to cancel / to delete / to paint
streiten (sich);to argue / to quarrel / to fight
