German;English
also;so
Du bist müde, also geh schlafen.;You are tired, so go to sleep.
daher;hence / therefore
Er hatte keine Zeit, daher half er nicht.;He had no time, hence he did not help.
darum;that's why
Ich habe Hunger, darum esse ich jetzt.;I am hungry, that's why I am eating now.
dementsprechend;accordingly
Die Lage ist ernst, dementsprechend handeln wir.;The situation is serious, accordingly we act.
demnach;accordingly / therefore
Der Zeuge sagte die Wahrheit, demnach ist er unschuldig.;The witness told the truth, therefore he is innocent.
deshalb;therefore
Es regnet, deshalb bleibe ich zu Hause.;It is raining, therefore I am staying home.
deswegen;because of that
Sie war krank, deswegen kam sie nicht.;She was sick, because of that she didn't come.
folglich;consequently
Er hat nicht gelernt, folglich fiel er durch.;He did not study, consequently he failed.
infolgedessen;as a result
Es gab einen Stau, infolgedessen kam ich zu spät.;There was a traffic jam, as a result I arrived late.
somit;thus
Alle Stimmen sind ausgezählt, somit ist er Sieger.;All votes are counted, thus he is the winner.
