English;German
to be missing - What's wrong with you?;fehlen - Was fehlt Ihnen?
made;gemacht
made, did;hat gemacht
made/done (past participle of machen);gemacht
mail carrier;Briefträger
the mail carrier (male/female);der/die Briefträger/in, -/-nen
the mail carrier, postwoman;die Briefträgerin
main course;die Hauptspeise, -n
main focus, emphasis;der Schwerpunkt, -e
main residence;Hauptwohnung
the main residence (singular);die Hauptwohnung, Sg
main station;Hauptbahnhof
the main station;der Hauptbahnhof, -e
the main train station;der Hauptbahnhof
to make/play music;Musik machen
male;männlich
male/masculine;männlich
to manage/achieve/create;schaffen
manual, craft-related, artisanal;handwerklich
many;viele
Many children are indeed too fat;Viele Kinder sind ja zu dick
Many people;Viele Leute
many sights;viele Sehenswürdigkeiten
many sights, tourist attractions;viele Sehenswürdigkeiten
many things;viele Sachen
March;der März
marital status;Familienstand
the marital status;der Familienstand
the marital status (singular);der Familienstand, Sg
the marker, highlighter;der Markierstift
market;Markt
market manager, store manager;der/die Marktleiter/in, -/-nen
the market, markets;der Markt, -e
married;verheiratet
the married couple;das Ehepaar
to marry;heiraten
mathematics (math);die Mathematik (Mathe),sg.
maximum temperatures up to;Höchsttemperaturen bis
maximum/at most;maximal
May;der Mai
Maybe / Perhaps;Vielleicht
maybe I'm looking for;Vielleicht suche
maybe, perhaps;Vielleicht
maybe/perhaps;vielleicht
meadow;Wiese
the meadow;die Wiese, -n
the meadows;die Wiesen
meal time;Essenszeit
to mean;bedeuten
to mean/think;meinen
means;bedeutet
means of transport;Verkehrsmittel
to measure;messen
to measure blood pressure;den Blutdruck messen
to measure fever;Fieber messen
to measure, measures, has measured;messen, misst, hat gemessen
meat;Fleisch
meat sausage;Fleischwurst
medical practice;Praxis
the medical practice, practices;die Praxis, Praxen
medication;Medikament
the medication;das Medikament, -e
medication, medicine;das Medikament
the medium/media, media;das Medium, Medien
to meet;treffen
to meet friends;Freunde treffen
to meet neighbors in the stairwell;im Treppenhaus Nachbarn treffen
to meet, meets, has met;treffen, trifft, hat getroffen
meeting point;Treffpunkt
meeting, discussion;die Besprechung, -en
member;das Mitglied, -er
membership fee;der Mitgliedsbeitrag, -¨e
memory;die Erinnerung, -en
men's clothing;Herrenbekleidung
men's trousers;Herrenhose
menu;die Speisekarte, -n
message, news;die Nachricht, -en
message, notice;die Mitteilung, -en
microwave;Mikrowelle
the microwave, microwaves;die Mikrowelle, -n
middle - (in the middle);Mitte - (in der Mitte)
milk;Milch
the milk;die Milch, Sg
the minced meat as well;das Hackfleisch auch
minced meat, ground meat;Hackfleisch
minute;Minute
the minute;die Minute, -n
to miss (a person or thing);vermissen
mistake, error;Fehler
the mistake/error, errors;der Fehler, -
MM = monthly rent;MM = die Monatsmiete, -n
Mmm, that tastes good, did you make it yourself?;Mmh, das schmeckt gut, haben Sie das selbst gemacht?
mobile internet;mobiles Internet
the mobile phone;das Handy
the mobile phone, cell phone;das Handy
modern;modern
moment;Moment
Monday;Montag
money;Geld
the money (singular);das Geld, Sg
money transfer;die Überweisung, -en
month;Monat
the month;der Monat, -e
monthly ticket (for transport);die Monatskarte, -n
monthly ticket/card;Monatskarte
mood;Laune
mood, atmosphere;die Stimmung, Sg.
more;mehr
more expensive than relaxation;teurer als Erholung
moreover, besides;außerdem
morning;Morgen
morning (before noon);Vormittag
most (plural);die meisten
Mostly there's a lot of traffic;Meistens ist viel Verkehr
mostly, usually;meistens
mostly/usually;meistens
mother;Mutter
mother tongue/native language;Muttersprache
the mother tongue/native language, native languages;die Muttersprache, -n
to motivate;motivieren
motor vehicle insurance;die Kfz-Versicherung, -en
motorcycle;Motorrad
the motorcycle;das Motorrad, -er
mountain;Berg
the mountain;der Berg, -e
the mountains;die Berge
mouth;Mund
the mouth;der Mund, -er
to move (residence);umziehen
to move (residence), moves, has moved;umziehen, zieht um, ist umgezogen
to move out;ausziehen
move-in;Einzug
the move-in (singular);der Einzug, Sg
to move, to exercise;sich bewegen
move/relocation;Umzug
moved (relocated);umgezogen
moved to Emmendingen;Emmendingen gezogen
the movie is also playing on Saturday;der Film läuft auch am Samstag
moving box;Umzugskarton
Mr. ... How are you? (formal);Herr ... Wie geht es Ihnen?
Mrs./Ms. ...;Frau ...
much/a lot;viel
muesli/granola;Müsli
multimedia department;Multimedia-Abteilung
municipal utilities;die Stadtwerke, Pl.
municipality/community;Gemeinde
the municipality/community;die Gemeinde, -n
museum;das Museum, Museen
museum visit;Museumsbesuch
music;Musik
music club, music association;Musikverein
the music is great;Musik ist toll
must (ich muss);muss
must learn words (absolutely);unbedingt Wörter lernen
must therefore always take the train;muss also immer den Zug nehmen
must/have to;müssen
mutual, reciprocal;gegenseitig
My child is sick;Mein Kind ist krank
my darling, my sweetheart;mein Schatz
my husband;mein Mann
My life earlier and today;Mein Leben früher und heute
My name is ...;Mein Name ist ...
My number is ...;Meine Nummer ist ...
my throat;mein Hals
my way, my route;mein Weg
My week;Meine Woche
the name;der Name
