German,English
etwas viel,a bit much
Ein Tag im Leben,A day in the life
paar Tipps,a few tips
ein bisschen,a little bit
bisschen krank,a little sick / slightly ill
bisschen,a little, a bit
bisschen,a little/bit
viel beim Training,a lot during training
viel Müll,a lot of rubbish/trash
viel Schnee,a lot of snow
viel Verkehr,a lot of traffic
eine feste Stelle,a permanent position
Ein Besuch beim Arzt,A visit to the doctor
das A4-Papier,A4 paper
die Fähigkeit,ability, capability
vom Urlaub,about the vacation
vor allem,above all, especially
oben,above/upstairs
Fehlen,absence/lack
ganz sicher,absolutely sure
unbedingt,absolutely/definitely
Unfall,accident
die Unterkunft,accommodation
das Konto,account
die Kontogebühr,account fee
Kontonummer,account number
Buchhalter,accountant
die Buchhaltung,accounting, accounts department
der/die Bekannte,acquaintance
Bekannten,acquaintance (dative/plural)
aktiv,active
Aktivurlaub,active vacation
die Tätigkeit,activity, job duties
Eigentlich ganz gut,Actually quite good
eigentlich,actually, really
eigentlich,actually/really
Nebenkosten,additional costs/utilities
Adresse,address
der/die Erwachsene,adult
Volkshochschule,adult education center/community college
Erwachsenen,adults (dative/genitive plural)
der/die Fortgeschrittene,advanced learner, intermediate
der Vorteil,advantage
Vorteil,advantage/benefit
Anzeige,advertisement/display
danach,after that, afterwards
danach,after that/afterwards
nach,after/to
nach,after/to/toward
Nachmittag,afternoon
Danach chillt sie,Afterwards she chills / relaxes
danach,afterwards/after that
wieder,again
dagegen,against it/on the other hand
Vereinbarung (nach Vereinbarung),agreement (by appointment/arrangement)
Flugzeug,airplane
Flughafen,airport
alle,all
Rund ums Geld,All about money
Rund ums Internet,All about the Internet
ganzen Tag,all day
ganzen Tag,all day, the whole day
Alles Gute!,All the best!
alle zusammen wieder,all together again
alle,all/everyone
der Kleingartenverein,allotment garden association
fast,almost
allein,alone
Alphabet,alphabet
schon,already
schon früh dunkel,already dark early
schon wieder voll,already full again
schon erwachsen,already grown up
schon so spi,already so late
auch,also
auch noch ein bisschen,also a little bit more
bringt auch noch Kaugummis mit,also brings chewing gum along
auch mit,also comes along
auch gern,also gladly
auch wichtig,also important
joggen auch,also jog
auch noch andere Hobbys,also other hobbies
auch Stücke,also plays (theater) / also pieces
auch etwas,also something
auch etwas an,also something on / also something at
auch das Fahrrad,also the bicycle
Sind auch zur Schule gegangen,Also went to school
auch,also/too
immer,always
ist immer gern gegangen,always liked to go
immer etwas,always something
immer etwas Interessantes,always something interesting
immer etwas Neues,always something new
immer den Zug,always the train
immer sehr nett,always very nice
Krankenwagen,ambulance
einen Unfall,an accident
Ein Mehrfamilienhaus,An apartment building
eine Idee,an idea
und,and
Tiere,animals
das Jubiläum,anniversary (often a milestone)
genervt,annoyed/irritated
ärgerlich,annoying
wieder mal ärgerlich,annoying once again
ärgerlich,annoying, irritating
Anrufbeantworter,answering machine
Sonst noch etwas,Anything else?
Mietshaus,apartment building, tenement house
Mehrfamilienhaus,apartment building/multi-family house
Wohnung,apartment/flat
Entschuldigung,apology
Blinddarmentzündung,appendicitis
Appetit,appetite
die Vorspeise,appetizer, starter
der Apfel,apple
Apfelsaft,apple juice
Apfel,Apple, Orange, Banana, Sausage
die Bewerbung,application
die Bewerbungsunterlagen,application documents
das Bewerbungsfoto,application photo
Termin,appointment
der Ausbildungsplatz,apprenticeship position, training place
ungefähr,approximately/about
der April,April
haben geöffnet,are open
malen gerade,are painting right now
Sind Sie auch neu hier im Haus?,Are you also new here in the building?
Gehst du einkaufen,Are you going shopping?
Sind zufrieden mit Ihrem Leben,Are you satisfied with your life?
Vorwahl,area code
Vorwahlnummer,area code, dialing code
du nicht bei der Stadt,aren't you (looking) with the city / at the city (authorities)
Sessel,armchair
um - um die Ecke fahren,around - to drive around the corner
um,around/at
Ankunft,arrival
Anreise,arrival (travel)
die Kunst,art
Artikel,article
als Taxifahrer,as a taxi driver
sowie,as well as
als,as, when, than
als: Er arbeitet als Erzieher,as: He works as an educator
Asienladen,Asian shop
befragt,asks, questions, interrogates
um - um neun Uhr,at - at nine o'clock
um,at (time)
überhaupt (nicht),at all (not at all)
jederzeit,at any time, anytime
um halb sieben,at half past six
zu Hause,at home
mindestens,at least
in der Nacht,at night
Um neun Uhr,at nine o'clock
am Mittag,at noon
um Viertel vor sechs,at quarter to six
am Anfang,at the beginning
Bei der Volkshochschule,At the community college / adult education center
am Alpenrand,at the edge of the Alps, in the Alpine foothills
Beim Ausländeramt,at the foreigners' registration office
Beim Wohnungsamt,at the housing office
zurzeit,at the moment, currently
Bei der Meldestelle,At the registration office
Bei der Meldestelle,at the registration office (for residents)
Beim Standesamt,at the registry office
Beim Einwohnermeldeamt,at the residents' registration office
mit drei Jahren,at three years old
Um wie viel Uhr?,At what time?
bei,at/near
an,at/on
Dachgeschoss,attic floor, top floor
Dachgeschoss,attic/loft
der August,August
Tante,aunt
Österreich,Austria
Behörde,authority/office
Automat,automaton/vending machine
der/die Kfz-Mechatroniker/in,automotive mechatronics technician
Herbst,autumn/fall
durchschnittlich,average/on average
