German;English
der Arbeitsplatz, -e;workplace, job
der/die Polizist/in, -en/-nen;police officer
der/die Pilot/in, -en/-nen;pilot
der/die Erzieher/in, -/-nen;educator, childcare worker
der/die Krankengymnast/in, -en/-nen;physiotherapist
als: Er arbeitet als Erzieher.;as: He works as an educator.
planen;to plan
die meisten;most (plural)
(A) Im Büro;(A) In the Office
wissen;to know
der Ordner, -;folder, binder
das Passwort, -¨er;password
der Drucker, -;printer
Keine Ahnung!;No idea!
Hier drüben.;Over here.
höflich;polite
(B) Mitteilungen;(B) Messages / Notices
die Mitteilung, -en;message, notice
die Nachricht, -en;message, news
der Bericht, -e;report
der Arbeitskollege, -n;colleague, coworker
der/die Mitarbeiter/in, -/-nen;employee, staff member
das Computerprogramm, -e;computer program
installieren;to install
einen Termin verschieben;to postpone an appointment
der Anruf, -e;telephone call
zurück rufen;to call back
Bescheid sagen;to inform, to let someone know
der Prospekt, -e;brochure, leaflet
zeigen;to show
vorstellen;to introduce, to imagine
der Kaffeeautomat, -en;coffee machine
die Betriebsversammlung, -en;company meeting, staff assembly
der Betriebsrat, -e;works council
die Pausenregel, -n;break rule(s)
der Arzttermin, -e;doctor's appointment
(C) Wie funktioniert das?;(C) How Does That Work?
das Gerät, -e;device, appliance
der Getränkeautomat, -en;beverage machine, drinks dispenser
der Kopierer, -;copier, photocopier
die Taste, -n;key, button
drücken;to press
dieser, -e, -es;this (masculine/neuter)
das Fach, -¨er;compartment, slot (also: subject)
das A4-Papier, Sg.;A4 paper
ausschalten;to turn off, switch off
einschalten;to turn on, switch on
einwerfen;to insert (e.g., coins), to throw in
(D) Situationen am Arbeitsplatz;(D) Situations in the Workplace
der/die Marktleiter/in, -/-nen;market manager, store manager
die Buchhaltung, -en;accounting, accounts department
die Technik, Sg.;technology, technical department
der technische Service;technical service
Platz nehmen;to take a seat
die Spedition, -en;shipping company, freight forwarding
einräumen;to admit, to concede; to put away, store
