German;English
die Freundschaft, -en;friendship
duzen;to address informally (use "du")
siezen;to address formally (use "Sie")
trösten;to comfort, to console
sich gegenseitig helfen;to help each other
gegenseitig;mutual, reciprocal
vertrauen;to trust
befreundet sein;to be friends
sich verstehen;to understand each other, to get along
(A) Was ist Freundschaft?;(A) What is Friendship?
sich verlassen auf;to rely on, to depend on
glücklich;happy
gemeinsam;together, joint
das Erlebnis, -se;experience, event
die Erinnerung, -en;memory
gute/schlechte Erinnerungen haben;to have good/bad memories
kaputt gehen;to break down, to break
der Erfolg, -e;success
die Webseite, -n;website
sich verabreden;to arrange to meet, to make a date
unternehmen;to undertake, to do (an activity)
das Privatleben, Sg.;private life
durch dick und dünn gehen;to stick together through thick and thin
die Politik, Sg.;politics
(B) Eine Freundschaftsgeschichte;(B) A Friendship Story
die Überraschung, -en;surprise
dorthin;to there, thither
der Aufenthalt, -e;stay, sojourn
der Bahnsteig, -e;platform (at a station)
das Portemonnaie, -s;wallet, purse
vermissen;to miss (a person or thing)
intelligent;intelligent
traurig;sad
zufrieden;satisfied, content
eifersüchtig;jealous
das Interesse, -n;interest
mindestens;at least
merken;to notice; to memorize
sich erinnern;to remember
teilen;to share
der Humor, Sg.;humor
das Gegenteil, -e;opposite
(C) Gedanken zur Freundschaft;(C) Thoughts on Friendship
der Gedanke, -n;thought
zusammenhalten;to stick together, to hold together
zusammen;together
weinen;to cry
lachen;to laugh
die Liebe, Sg.;love
die Wärme, Sg.;warmth
blühen;to bloom, to blossom
Blumen blühen;flowers bloom
trennen;to separate, to divide
das Gedicht, -e;poem
das Lied, -er;song
