English;German
labor dispute / work conflict;Arbeitskonflikt, der, -e
labor law / employment law;Arbeitsrecht, das, Sg.
laborious / arduous / painstaking;mühevoll
lacquer / paint / varnish;Lack, der, -e
landscape / scenery;Landschaft, die, -en
lane (traffic);Fahrstreifen, der, -
large family life / extended family life;Großfamilienleben, das, Sg.
largely / mostly / extensive;weitgehend
laundromat / launderette;Waschsalon, der, -s
laundry;Wäsche, die, Sg.
law;Gesetz, das, -e
lazy;faul
lead singer;Leadsänger/in, der/die,-/-nen
leadership position / management role;Führungsposition, die, -en
lecturer / teacher;Dozent/in, der/die, -en/-nen
LED lamp / LED light;LED-Lampe, die, -n
legal / by law / statutory;gesetzlich
legal problem;Rechtsproblem, das, -en
legally required / mandated by law;gesetzlich vorgeschrieben
leisure activity offering / free time program;Freizeitangebot, das, -e
level / proficiency level;Niveaustufe, die, -n
level / stage / step;Stufe, die, -n
liberal;liberal
life-threatening / deadly;lebensgefährlich
lighting system / light installation;Lichtanlage, die, -n
limited liability company (LLC);GmbH = Gesellschaft mit beschränkter Haftung, die
lion;Löwe, der, -n
living together / cohabitation / coexistence;Zusammenleben, das, Sg.
local election / municipal election;Kommunalwahl, die, -en
local politics;Kommunalpolitik
local transport / public transit;Nahverkehr, der, Sg.
location / site;Standort, der, -e
long-standing / many years of;langjährig
long-term care insurance;Pflegeversicherung, die, -en
look / glance / view;Blick, der, -e
lottery win / jackpot;Lottogewinn, der
love story;Liebesgeschichte, die, -n
low;niedrig
low / small / slight;gering
loyal / faithful;treu
lung;Lunge, die, -n
