German;English
reden;to talk, to speak
bestimmt;surely, certainly
vom Urlaub;about the vacation
sagen;to say, to tell
sind gefahren;(we/they) have traveled / went (by vehicle)
ganz vielen Möbeln;very many pieces of furniture
Hört mal;listen up, hey listen
wirklich;really
einzigartige;unique (feminine/plural adjective)
Städtetour;city tour
Lkw;truck, lorry
bequem;comfortable
Flugzeug;airplane
Anreise;journey there, arrival travel
etwas anstrengend;somewhat strenuous
teurer als Erholung;more expensive than relaxation
tolle Ferienwohnung;great holiday apartment
mit Aussicht;with a view
so preiswert;so inexpensive
Deshalb;therefore, that's why
da immer noch;since still / because still
angenehme Temperaturen;pleasant temperatures
mal eine Wolke;occasionally a cloud
Wunderschön;beautiful, gorgeous
tolles Erlebnis;great experience
hat mir besser gefallen;I liked it better / it pleased me more
so viel Spaß;so much fun
