English;German
uncomplicated / straightforward / easygoing;unkompliziert
underage / minor;minderjährig
unemployed;arbeitslos
unemployment;Arbeitslosigkeit, die, Sg.
unemployment insurance;Arbeitslosenversicherung,die, -en
unhealthy;ungesund
uninterested / indifferent / disengaged;desinteressiert
university;Uni, die, -s (Universität)
university degree / higher education degree;Hochschulabschluss, der, “-e
unmarried;unverheiratet
unprofitable;unrentabel
unrealistic;unrealistisch
unsuccessful / fruitless;erfolglos
until / by / up to;bis (Konj.)
unusual / unfamiliar / unaccustomed;ungewohnt
upbringing / education / raising;Erziehung, die, Sg.
urban / municipal;städtisch
use / usage / utilization;Nutzung, die, -en
