German;English
Radfahrer/in, der/die, -/-nen;cyclist / bike rider
Raststätte, die, -n;rest stop / service area (highway)
Ratschlag, der, “-e;advice / recommendation
rauchen;to smoke
Realität, die, Sg.;reality / actuality
Realschulabschluss, der, “-e;secondary school certificate (intermediate level)
Recht, das, -e;right / law / justice
Rechtsproblem, das, -e;legal problem
recyceln;to recycle
Recyclinghof, der, “-e;recycling center
reduzieren;to reduce / to lower
Regel, die (hier: in der Regel);rule (here: as a rule / usually)
regeln;to regulate / to arrange / to settle
Regelung, die, -en;regulation / arrangement / settlement
regieren;to govern / to rule
Regierung, die, -en;government
Regierungspartei, die, -en;governing party / ruling party
Reh, das, -e;deer / roe deer
reichen;to suffice / to reach / to pass
reif;ripe / mature
Reifen, der, -;tire
Reifendruck, der, Sg.;tire pressure
Reiseveranstalter, der, -;tour operator
reiten;to ride (horse)
rentabel;profitable
Rente, die, -n;pension / retirement benefit
repräsentieren;to represent
Restmüll, der, Sg.;residual waste / general waste
retten;to save / to rescue
Risiko, das, Risiken;risk / danger / hazard
Rockband, die, -s;rock band
Rohstoff, der, -e;raw material
Rolle, die, -n;role / part / function
Rolle, die (hier: eine Rolle spielen);role (here: to play a role)
Röntgen, das, Sg.;X-ray
Röntgenbild, das, -er;X-ray image
Rückengymnastik, die, Sg.;back exercise / back training
Rückgaberecht, das, Sg.;right of return / return policy
Ruf, der, Sg.;reputation / call
Ruhestand, der, Sg.;retirement
rund um;around / surrounding
