German;English
Rad, das, -¨er;wheel
Radweg, der, -e;bicycle path
Rasierapparat, der, -e;shaver, razor
Raum, der, -¨e;room
Realschule, die, -n;intermediate school (German school type)
recherchieren;to research
Rechnung, die, -en;bill, invoice
Rechtsanwalt/-anwältin, der/die, -¨e/-nen;lawyer, attorney
Rechtsberatung, die, -en;legal advice
Rechtsschutzversicherung, die, -en;legal expenses insurance
Regensachen, Pl.;rain gear, wet-weather clothes
reinigen;to clean
Reinigungsunternehmen, das, -;cleaning company
Reisebus, der, -se;tour bus, coach
Reisedokument, das, -e;travel document
Reiseführer, der, -;travel guide (book or person)
Reisende, der/die, -n;traveler
Reiseplanung, die, -en;travel planning
Reisezeit, die, -en;travel time, journey time
Reiseziel, das, -e;travel destination
Reklamation, die, -en;complaint, claim
reklamieren;to complain, to make a claim
rennen;to run (quickly)
renovieren;to renovate, to refurbish
Renovierung die, -en;renovation
Rentenversicherung, die, -en;pension insurance
Rentner/in, der/die, -/-nen;retiree, pensioner
Reparatur, die, -en;repair
Reparaturarbeiten, Pl.;repair work
reservieren;to reserve
Richtungspfeil, der, -e;direction arrow
Rollenmaß, das, -e;roller measure (e.g., for wallpaper)
romantisch;romantic
Rose, die, -n;rose
Rückflug, der, -¨e;return flight
Rucksack, der, -¨e;backpack
Ruhe, die, Sg.;quiet, calm
Rundfunkbeitrag, der, -¨e;broadcasting license fee
Rundgang, der, -¨e;tour, guided walk
Russisch;Russian (language)
Russischlehrer/in, der/die, -/-nen;Russian teacher
