German;English
gemacht;made / done (past participle)
Das habe ich selbst gemacht.;I made that myself.
getan;done (past participle)
Was hast du getan?;What have you done?
machte;made / did (simple past – I/he/she/it)
Er machte die Tür zu.;He closed the door.
machten;made / did (simple past – wir/sie)
Sie machten eine Party.;They threw a party.
machtest;made / did (simple past – du)
Du machtest einen Fehler.;You made a mistake.
machtet;made / did (simple past – ihr)
Ihr machtet mir Angst.;You scared me.
tat;did (simple past of tun – I/he/she/it)
Er tat nichts den ganzen Tag.;He did nothing all day.
taten;did (simple past – wir/sie)
Wir taten unser Bestes.;We did our best.
tatest;did (simple past – du – note: corrected from tatst)
Du tatest so, als ob nichts wäre.;You acted as if nothing was wrong.
tatet;did (simple past – ihr)
Ihr tatet genau das Richtige.;You did exactly the right thing.
