German;English
Ehe, die, -n;marriage
ehemalig;former / ex-
Ehepaar, das, -e;married couple
Ehescheidung, die, -en;divorce
E-Learning-Kurs, der, -e;e-learning course
E-Learning, das, Sg.;e-learning
Eigenkapital, das, Sg.;equity / own capital
Eindruck, der, “-e;impression
Eindruck, der, “-e (hier: den Eindruck haben);impression (here: to have the impression)
einführen;to introduce / to import
einhalten;to keep / to comply with / to maintain
Einigung, die, Sg.;agreement / settlement
Einkaufsabteilung, die, -en;purchasing department
Einkommen, das, -;income
Einladungsbrief, der, -e;invitation letter
einpacken;to pack / to wrap
einrichten;to set up / to furnish / to establish
Einrichtung, die, -en;institution / facility / establishment
einstellen;to hire / to employ / to set (adjust)
einteilen;to divide / to allocate / to schedule
Eintrittskarte, die, -n;admission ticket / entry ticket
Einwanderungsland, das, “-er;country of immigration
Einwegverpackung, die, -en;single-use packaging
Einwohnerzahl, die, -en;population / number of inhabitants
Einzelkind, das, -er;only child
einzeln;individual / single / separate
elektronisch;electronic
Elternbeirat, der, “-e;parents' advisory council
Elternhaus, das, “-er;parental home / childhood home
Elterninteresse, das, -n;parental interest
Elternzeit, die, Sg.;parental leave
Empfang, der, Sg.;reception / receipt / welcome
Empfehlung, die, -en;recommendation
endlos;endless / infinite
Energieabrechnung, die, -en;energy bill / utility statement
Energieform, die, Sg.;form of energy
Energieforschung, die, Sg.;energy research
Energieproblem, das, -e;energy problem
Energiequelle, die, -n;energy source
energiesparend;energy-saving
Energieträger, der, -;energy carrier
Engagement, das, Sg.;commitment / dedication
Englischkenntnisse, Pl.;English skills / English knowledge
entbinden;to deliver (baby) / to discharge
Entbindung, die, -en;childbirth / delivery
Entgeltabrechnung, die, -en;payroll accounting / salary statement
entscheiden;to decide
Entscheidung, die, -en;decision / ruling
Entsorgung, die, -en;disposal
entweder ... oder;either ... or
entwickeln;to develop / to evolve
erarbeiten;to work out / to develop / to elaborate
Erdöl, das, Sg.;petroleum / crude oil
Erdwärme, die, Sg.;geothermal energy
erfahren;to experience / to learn (about) / experienced (adj.)
erfolglos;unsuccessful / fruitless
erfüllen;to fulfill / to satisfy / to comply with
ergänzen;to supplement / to complement / to add
erhalten;to receive / to obtain / to maintain
Erkrankung, die, -en;illness / disease
erlernen;to learn / to acquire (skill)
erledigen;to finish / to take care of / to get done
ernennen;to appoint / to nominate
erneuerbar;renewable
Ernte, die, -n;harvest
Eröffnung, die, -en;opening / inauguration
erreichen;to reach / to achieve / to attain
Erste-Hilfe-Kasten, der, “-;first aid kit
Erwachsenenbildung, die, Sg.;adult education
erwarten;to expect / to await
Erwerbstätigkeit, die, Sg.;gainful employment / occupation
erweitern;to expand / to extend / to broaden
erwirtschaften;to generate / to earn / to produce (profit)
Erzählung, die, -en;story / narrative / tale
Erziehung, die, Sg.;upbringing / education / raising
Erziehungsmethode, die, -n;parenting method / education method
Espressokapsel, die, -n;espresso capsule
Essensausgabe, die, -n;meal distribution / food service
etablieren (sich);to establish (oneself)
etc. (et cetera = und so weiter);etc. (et cetera)
EU-Bürger/in, der/die, -/-nen;EU citizen
evangelisch;Protestant / Evangelical
eventuell;possibly / perhaps / eventually
Existenzgründer/in, der/die, -/-nen;startup founder / entrepreneur
Existenzgründerkurs, der, -e;startup founder course
Existenzgründerseminar, das, -e;startup seminar / entrepreneurship seminar
Existenzgründung, die, -en;business startup / founding a company
Experte/Expertin, der/die, -n/-nen;expert
Exportanteil, der, -e;export share
exportieren;to export
extrem;extreme / extremely
