English;German
e-learning;E-Learning, das, Sg.
e-learning course;E-Learning-Kurs, der, -
earnings / wage / income;Verdienst, der, -e
economic / economical / financial;wirtschaftlich
economical / frugal / thrifty;sparsam
economics studies / business studies;Wirtschaftsstudium, das, Sg.
economy / business;Wirtschaft, die, Sg.
edition / issue / release;Ausgabe, die, -n
education policy;Bildungspolitik, die, Sg.
either ... or;entweder ... oder
election / vote;Wahl, die, -en
election / vote / choice;Wahl, die, -en
election campaign;Wahlkampf, der, “-e
electricity / current / stream;Strom, der, Sg.
electricity bill;Stromrechnung, die, -en
electricity generation / power production;Stromerzeugung, die, Sg.
electronic;elektronisch
eligible to vote;wahlberechtigt
email;Mail, die, -s
emergency room;Notaufnahme, die, -n
employee (white-collar);Angestellte, der/die, -n
employee / worker;Beschäftigte, der/die, -n
employee contribution;AN-Anteil (= Arbeitnehmeranteil), der, -e
employee protest / worker protest;Arbeitnehmerprotest, der, -e
employment / occupation / activity;Beschäftigung, die, -en
employment contract / work agreement;Arbeitsvertrag, der, “-e
end / conclusion (here: finally / in conclusion);Schluss, der, (hier: zum Schluss)
endless / infinite;endlos
endurance training;Ausdauertraining, das, Sg.
energy;Energie, die, -n
energy bill / utility statement;Energieabrechnung, die, -en
energy carrier;Energieträger, der, -
energy problem;Energieproblem, das, -e
energy research;Energieforschung, die, Sg.
energy source;Energiequelle, die, -n
energy-saving;energiesparend
engine / motor;Motor, der, -en
English skills / English knowledge;Englischkenntnisse, Pl.
enough / sufficient;genügend
entrepreneur / business owner;Unternehmer/in, der/die,-/-nen
environment;Umwelt, die, Sg.
environmental problem;Umweltproblem, das, -e
environmental project;Umweltprojekt, das, -e
environmental protection;Umweltschutz, der, Sg.
environmental protection law;Umweltschutzgesetz, das, -e
equal in rights / with equal opportunities;gleichberechtigt
equal rights / gender equality;Gleichberechtigung, die, Sg.
equity / own capital;Eigenkapital, das, Sg.
especially / particularly / special;besonders
espresso capsule;Espressokapsel, die, -n
etc. (et cetera);etc. (et cetera = und so weiter)
EU citizen;EU-Bürger/in, der/die, -/-nen
event location / venue;Veranstaltungsort, der, -e
everyday / common / mundane;alltäglich
everyday life / daily routine;Alltag, der, Sg.
examination / check-up;Untersuchung, die, -en
examination / check-up / investigation;Untersuchung, die, -en
excellent / outstanding / distinguished;ausgezeichnet
exchange / return;Umtausch, der, Sg.
excited / agitated / nervous;aufgeregt
exclusively / only;ausschließlich
executive board / management;Geschäftsführung, die, -en
exhaust fumes / emissions;Abgase, Pl.
exhaust gas / emission;Abgas, das, -e
exit / driveway;Ausfahrt, die, -en
experienced (professionally);berufserfahren
expert;Experte/Expertin, der/die,-n/-nen
export share;Exportanteil, der, -e
extraction / production / winning;Gewinnung, die, Sg.
extreme / extremely;extrem
