English;German
to wait (for);warten (auf)
to walk, to run;laufen
wallet, purse;die Brieftasche, -n
wallpaper;die Tapete, -n
to wallpaper;tapezieren
warmth;die Wärme, Sg.
way to school, school route;der Schulweg, -e
weak;schwach
to wear, to carry;tragen
website;die Webseite, -n
wedding anniversary;der Hochzeitstag, -e
wedding cake;die Hochzeitstorte, -n
wedding celebration;die Hochzeitsfeier, -n
wedding dress;das Brautkleid, -er
weekend;das Wochenende
What a ...;Was für ein/eine/einen ..
whether, if;ob
why;warum
wife;die Ehefrau, -en
with good transport links, conveniently located for transport;verkehrsgünstig
with it, so that, therefore;damit
to withdraw (cash);abheben
women's group;die Frauengruppe, -n
wonderfully beautiful, gorgeous;wunderschön
work break;die Arbeitspause, -n
work experience, professional experience;die Berufserfahrung, -en
to work full-time;in Vollzeit arbeiten
to work out, to succeed;klappen
to work part-time;in Teilzeit arbeiten
to work together, to collaborate;zusammenarbeiten
Working with the computer;(B) Mit dem Computer arbeiten
workplace, job;der Arbeitsplatz, -e
works council;der Betriebsrat, -e
written/in writing;schriftlich
wrong number (connected incorrectly);falsch verbunden
