German;English
Tablet;tablet (computer/medicine)
Tablette;pill/tablet
Tafel (Schokolade);bar (of chocolate)
Tafel;blackboard/board
Tag;day
telich;(likely typo) daily (täglich)
Tankstelle;gas station
Tante;aunt
tanzen;to dance
Tanzparty;dance party
Tasche;bag
Tasse;cup
Taxifahrer;taxi driver
Taxiunternehmen;taxi company
Team;team
Tee;tea
Teilnehmer;participant
telefonieren;to telephone/call
Telefonnummer;telephone number
Temperatur;temperature
Teppich;carpet/rug
Termin;appointment
Terrasse;terrace/patio
teuer ;expensive
Text;text
Thailändisch;Thai
theoretisch;theoretical
Tipp;tip/hint
Tisch;table
Tochter;daughter
Toilette;toilet/bathroom
toll ;great/awesome
Tomate;tomato
Tonne;ton
Tourist;tourist
tragen ;to wear/carry
Trakto;(likely typo) tractor (Traktor)
Traktoren ;tractors
träumen ;to dream
treffen ;to meet
Treffpunkt;meeting point
Treppe;stairs/staircase
Treppenhouse;stairwell
trinken;to drink
tschüss;bye/see you
T-Shirt;T-shirt
Tunnel;tunnel
Tür;door
Türkish;(likely typo) Turkish (Türkisch)
Tüte;bag
