English;German
daily work routine;Arbeitsalltag, der, Sg.
daily work routine / everyday working life;Arbeitsalltag, der, Sg.
danger / risk / hazard;Gefahr, die, -en
debts;Schulden, Pl.
decision / ruling;Entscheidung, die, -en
deduction / subtraction / trigger;Abzug, der, “-e
deer / roe deer;Reh, das, -e
demanding / challenging / sophisticated;anspruchsvoll
dementia;Demenz, die, Sg.
demo CD;Demo-CD, die, -s
democratic;demokratisch
demographic;demographisch
demonstration / protest;Demonstration, die, -en
department;Abteilung, die, -n
depression;Depression, die, -en
desert;Wüste, die, -n
detail;Detail, das, -s
detour / diversion;Umleitung, die, -en
diabetes;Diabetes, die, Sg.
diesel;Diesel, der, Sg.
difference / discrepancy;Differenz, die, -en
digital;digital
disagreement / difference of opinion;Meinungsverschiedenheit, die
discussion;Diskussion, die, -en
discussion forum;Gesprächsforum, das, -foren
display / screen;Display, das, -s
disposal;Entsorgung, die, -en
disposal (here: to be available);Verfügung, die, (hier: zur Verfügung stehen)
dissatisfied / unhappy / discontent;unzufrieden
distance / route / stretch;Strecke, die, -n
diverse / varied / multifaceted;vielfältig
divorce;Ehescheidung, die, -en
divorce / separation;Scheidung, die, -en
document / material / base;Unterlage, die, -n
documents / paperwork / materials;Unterlagen, die, Pl.
door-to-door sale;Haustürgeschäft, das, -e
double / twice / dual;doppelt
drinking water;Trinkwasser, das, Sg.
dumpster / container;Container, der, -
during;während (Präp.)
during / while;während
during / while / whereas;während
duty / obligation;Pflicht, die, -en
dynamic;dynamisch
