English;German
occupied, taken, busy;besetzt
ointment, cream;die Salbe, -n
okay, all right, in order;in Ordnung
old town, historic center;die Altstadt, Sg.
old, modern;alt, modern
online banking;das Online-Banking, Sg.
online registration;die Online-Anmeldung, -en
online transfer;die Online-Überweisung, -en
opinion;die Meinung, -en
opposite;das Gegenteil, -e
order, job, commission;der Auftrag, -¨e
outside (of);außerhalb
outward flight;der Hinflug, -¨e
Over here.;Hier drüben.
overtime hour;die Überstunde, -n
