German,English
trinken,ich habe getrunken.,to drink, I have drunk.
gehen, ich bin gegangen.,to go, I have gone.
schlafen, ich habe geschlafen.,to sleep, I have slept.
kommen, ich bin gekommen.,to come, I have come.
sehen, ich habe gesehen.,to see, I have seen.
fahren, ich bin gefahren.,to drive/travel, I have driven.
fernsehen, ich habe ferngesehen.,to watch TV, I have watched TV.
einschlafen, ich bin eingeschlafen.,to fall asleep, I have fallen asleep.
lesen, ich habe gelesen.,to read, I have read.
aunwachen, ich bin aufgewacht.,(likely typo) to wake up, I have woken up (aufwachen).
essen, ich habe gegessen.,to eat, I have eaten.
aunstehen, ich bin aufgestanden.,(likely typo) to get up, I have gotten up (aufstehen).
bleiben, ich bin geblieben.,to stay, I have stayed.
