English;German
to take (medicine);einnehmen
to take a blood sample;Blut abnehmen
to take a seat;Platz nehmen
to take care of, to look after;kümmern (sich)
to talk on the phone (with);telefonieren (mit)
the talk show, talk shows;die Talkshow, -s
teamwork;die Teamarbeit, Sg.
technical service;der technische Service
technology, technical department;die Technik, Sg.
telephone call;der Anruf, -e
the television (singular);das Fernsehen, Sg.
Television and radio;(C) Fernsehen und Radio
to tell (a story);erzählen
to tell/narrate;erzählen
temporary employment agency;die Zeitarbeitsfirma, -firmen
temporary help, assistant;die Aushilfe, -n
tent;das Zelt, -e
that (conjunction);dass
That comes to 20 euros.;Das macht 20€.
theater group;die Theatergruppe, -n
to there, thither;dorthin
to think;denken
to think (of, about);denken (an)
this (masculine/neuter);dieser, -e, -es
thought;der Gedanke, -n
to throw rice;Reis werfen
thunderstorm;das Gewitter, -
tight, narrow;eng
timetable, schedule;der Stundenplan, -e
tip;das Trinkgeld, -er
together;zusammen
Together or separately?;Zusammen oder getrennt?
together, joint;gemeinsam
together, jointly;gemeinsam
toilet, water closet;das WC, -s
too bad, a pity;schade
toothbrush;die Zahnbürste, -n
tour, guided walk;der Rundgang, -¨e
tourism;der Tourismus, Sg.
towel;das Handtuch, -¨er
trade office, business registration office;das Gewerbeamt, -¨er
traffic jam;der Stau, -s
the traffic report, traffic reports;die Verkehrsmeldung, -en
to train, to work out;trainieren
training, apprenticeship;die Ausbildung, -en
to transfer (money);überweisen
to transport;transportieren
travel destination;das Reiseziel, -e
travel document;das Reisedokument, -e
travel guide (book or person);der Reiseführer, -
travel time, journey time;die Reisezeit, Sg.
traveler;der/die Reisende, -n
to trust;vertrauen
to try out/test;ausprobieren
to turn off, switch off;ausschalten
to turn on, switch on;einschalten
tutoring, extra lessons;die Nachhilfe, Sg.
typical;typisch
the university, universities;die Universität, -en
the weather report, weather reports;der Wetterbericht, -e
the website, websites;die Internetseite, -n
the word, words;das Wort, -er
the world (singular);die Welt, Sg.
