English;German
labor market, job market;der Arbeitsmarkt, Sg.
laboratory test;die Laboruntersuchung, -en
ladder;die Leiter, -n
to last;dauern
to laugh;lachen
lawyer, attorney;der Rechtsanwalt, -¨e
to lay, to put down (horizontal);legen
to learn by heart/memorize;auswendig lernen
Learning languages;(C) Sprachen lernen
to leave a message;eine Nachricht hinterlassen
to leave/abandon;verlassen
legal advice;die Rechtsberatung, Sg.
legal expenses insurance;die Rechtsschutzversicherung, -en
liability insurance;die Haftpflichtversicherung, -en
to lie, to be located (horizontal);liegen
lively, vibrant;lebendig
location;die Lage, -n
lonely;einsam
to look forward (to) / to be happy (about);sich freuen (auf/über)
to lose;verlieren
to lose weight;abnehmen
love;die Liebe, Sg.
low-fat;fettarm
