English;German
vacation planning / holiday planning;Urlaubsplanung, die, -en
vaccination;Impfung, die
vaccination protection / immunity;Impfschutz, der, Sg.
valley;Tal, das, “-er
valuable / precious;wertvoll
variety / change / diversion;Abwechslung, die, -en
vehicle;Fahrzeug, das, -e
vehicle documents / car papers;Fahrzeugpapiere, Pl.
vehicle owner / registered keeper;Fahrzeughalter/in, der/die, -/-nen
vehicle tax / car tax;Kfz-Steuer, die, -n
vehicle type;Fahrzeugtyp, der, -en
video;Video, das, -s
video portal;Videoportal, das, -e
view / prospect / outlook;Aussicht, die, (hier:) Sg.
virus;Virus, der, -en (or das Virus)
visit to authorities / official errand;Behördengang, der, “-e
vital / essential for life;lebenswichtig
vocabulary word;Vokabel, die, -n
vote / voice;Stimme, die, -n
vote losses / loss of votes;Stimmverluste, Pl.
voucher / gift certificate;Gutschein, der, -e
