English;German
to be correct;stimmen
to call back;zurückrufen
caller;der/die Anrufer/in, -/-nen
camera;die Kamera, -s
campsite;der Campingplatz, -¨e
candle;die Kerze, -n
car accident;der Autounfall, -e
car breakdown;die Autopanne, -n
car registration;die Autoanmeldung, -en
car repair shop, garage;die Autowerkstatt, -en
car-free;autofrei
car, vehicle;der Wagen, -
care service, nursing service;der Pflegedienst, -e
careers advisor, employment counselor;der/die Arbeitsberater/in, -/-nen
cashless;bargeldlos
castle, fortress;die Burg, -en
cat;die Katze, -n
catalog, brochure;der Katalog, -e
central;zentral
cereal products, grain products;die Getreideprodukte, Pl.
chain, necklace;die Kette, -n
to change, exchange (money);wechseln
chaos;das Chaos, Sg.
characteristic, quality;die Eigenschaft, -en
to chat;chatten
to check emails;E-Mails checken
to check in;einchecken
to check, to examine;prüfen
checking account, current account;das Girokonto, -konten
chemistry;die Chemie, Sg
Christmas;Weihnachten
city administration;die Stadtverwaltung, -en
city center;das Stadtzentrum, Sg.
city center, downtown;die Innenstadt, -e
class;die Klasse, -n
class fund;die Klassenkasse, -n
class teacher, homeroom teacher;der/die Klassenlehrer/in,-/-nen
class test, written exam;die Klassenarbeit, -en
class trip, school trip;die Klassenfahrt, -en
clean;sauber
to clean;putzen
clean, dirty;sauber, schmutzig
to close;schließen
club life, association life;das Vereinsleben, Sg.
club, association;der Verein, -e
the club/association, clubs;der Verein, -e
coast, coastline;die Küste, -n
coffee machine;der Kaffeeautomat, -en
colleague, coworker;der Arbeitskollege, -n
to come by, to stop by;vorbeikommen
to comfort, to console;trösten
committed, dedicated;engagiert
community center, neighborhood house;das Nachbarschaftshaus, -¨er
company meeting, staff assembly;die Betriebsversammlung, -en
compartment, slot (also: subject);das Fach, -¨er
to complain, to make a claim;reklamieren
complaint, ailment;die Beschwerde, -n
complaint, claim;die Reklamation, -en
comprehensive school;die Gesamtschule, -n
compulsory education;die Schulpflicht, Sg.
computer program;das Computerprogramm, -e
computer skills;die Computerkenntnisse, Pl.
to conclude, to take out (e.g., insurance);abschließen
condition, requirement;die Bedingung, -en
Congratulations!;Herzlichen Glückwunsch!
to connect;verbinden
to consider, to think over;überlegen (sich)
consultation, advice, counseling;die Beratung, -en
continuing education, advanced training;die Weiterbildung, -en
to converse, to talk, to entertain oneself;sich unterhalten
copier, photocopier;der Kopierer, -
cost of materials;die Materialkosten, Pl.
counter, window (at a bank);der Schalter, -
course offerings, selection of courses;das Kursangebot, -e
cover letter, letter of application;das Bewerbungsschreiben, -
creative;kreativ
the crime novel/detective story, detective stories;der Krimi, -s
to cry;weinen
current, up-to-date;aktuell
curriculum vitae, CV, resume;der Lebenslauf, -¨e
