German;English
Lack, der, -e;lacquer / paint / varnish
Laden, der, “-;shop / store
Lager, das, -;warehouse / storage / camp
Lagerhelfer/in, der/die, -/-nen;warehouse assistant
Landerausländerbeirat, der, “-e;state foreigners' advisory council
Landesregierung, die, -en;state government
ländlich;rural / countryside
Landschaft, die, -en;landscape / scenery
Landtag, der, -e;state parliament
Landwirtschaft, die, Sg.;agriculture / farming
langjährig;long-standing / many years of
Lärm, der, Sg.;noise
Lauf, der (hier: im Laufe der Jahre);course (here: in the course of years)
laufen (hier: Die Firma läuft gut.);to run / to go (here: The business is going well)
laufend;ongoing / current / running
Leadsänger/in, der/die, -/-nen;lead singer
Lebensabschnitt, der, -e;phase of life / life stage
Lebenseinstellung, die, -en;attitude to life / outlook on life
lebensgefährlich;life-threatening / deadly
Lebensjahr, das, -e;year of life / age
Lebensqualität, die, Sg.;quality of life
lebenswichtig;vital / essential for life
LED-Lampe, die, -n;LED lamp / LED light
Lehrkraft, die, “-e;teacher
Lehrling, der, -e;apprentice / trainee
leiden;to suffer / to endure
leisten (sich);to afford / to achieve (oneself)
leiten;to lead / to manage / to direct
Lenkrad, das, “-er;steering wheel
liberal;liberal
Lichtanlage, die, -n;lighting system / light installation
lieb haben;to love / to be fond of
Liebesgeschichte, die, -n;love story
Lieferant/in, der/die, -en/-nen;supplier / vendor
liefern;to deliver / to supply
lohnen (sich);to be worthwhile / to pay off
Lohnsteuer, die, -n;wage tax / income tax
los müssen;to have to leave / to need to go
Lösung, die, -en;solution
Lottogewinn, der, -e;lottery win / jackpot
Löwe, der, -n;lion
lückenlos;complete / without gaps / unbroken
Luftschiff, das, -e;airship
Luftverschmutzung, die, Sg.;air pollution
Lunge, die, -n;lung
