German;English
da;there/since
dabeihaben;to have with oneself
Dachgeschoss;attic/loft
damals;back then/at that time
Damenmantel;women's coat
danach;after that/afterwards
Dank (Vielen Dank);thanks (thank you very much)
danke;thank you
danken;to thank
denn;because/for
denn - Was fehlt Ihnen denn?;for - What exactly is bothering you?
deshalb;therefore/that's why
deutlich;clear/clearly/marked
Deutsch;German
Deutschkurs;German course
Dezember;December
Dienstag;Tuesday
Dienstagabend;Tuesday evening
Dienstagnachmittag;Tuesday afternoon
Dienstagvormittag;Tuesday morning
Ding (vor allen Dingen);thing (above all/especially)
direkt;direct/directly
doch;however/yes (contradictory)
Doktor;doctor
Donnerstag;Thursday
Dorf;village
dort;there
Dose;can/tin
draußen;outside
dringend;urgent/urgently
drinnen;inside
Drogerie;drugstore
dunkel;dark
durch;through/by
durchschnittlich;average/on average
dürfen;to be allowed/may
Durst;thirst
