German;English
nachdem;after / afterwards
nachdenken;to think / to reflect / to ponder
nachfüllen;to refill / to top up
Nahverkehr, der, Sg.;local transport / public transit
nämlich;namely / because / that is
Natur, die, Sg.;nature
Naturschutzgebiet, das, -e;nature reserve / protected area
negativ;negative
nervös;nervous / anxious / edgy
Nettogehalt, das, “-er;net salary
Netz, das, (hier: Internet) Sg.;network / web (here: internet)
neugierig;curious
Neukunde/Neukundin, der/die, -n/-nen;new customer
Neustart, der, Sg.;restart / new start
nicht nur ... sondern auch;not only ... but also
Niederlassung, die, -en;branch / subsidiary / office
niedrig;low
Niveaustufe, die, -n;level / proficiency level
Nordic Walking, das, Sg.;Nordic walking
Notaufnahme, die, -n;emergency room
nötig;necessary / needed
Notiz, die, -en;note
notwendig;necessary / required
Nutzung, die, -en;use / usage / utilization
