German;English
Kaffeeautomat, der, -en;coffee machine
Kaffeekanne, die, -n;coffee pot
Kalligraphie, die, Sg.;calligraphy
Kaltmiete, die, Sg.;base rent (excluding utilities)
Kamera, die, -s;camera
Kapazität, die, -en;capacity
kaputtgehen;to break, to break down
kaputt machen;to break, to ruin
Karnevalsverein, der, -e;Carnival club
Karteikarte, die, -n;index card, file card
Kartoffelsuppe, die, -n;potato soup
Katalog, der, -e;catalog, brochure
Katze, die, -n;cat
Kaution, die, -en;deposit, security payment
kennenlernen;to get to know, to meet
Kenntnisse, Pl.;knowledge, skills
Kerze, die, -n;candle
Kette, die, -n;chain, necklace
Kfz-Mechatroniker/in, der/die, -/-nen;automotive mechatronics technician
Kfz-Versicherung, die, -en;motor vehicle insurance
Kilometer, der, -;kilometer
Kindernotfälle, Pl.;child emergencies
Kindersendung, die, -en;children's program
Kinderzimmer, das, -;children's room
Kiosk, der, -e;kiosk, newsstand
Klassenfahrt, die, -en;class trip, school trip
Klassenkasse, die, -n;class fund
Klassenlehrer/in, der/die, -/-nen;class teacher, homeroom teacher
klassisch;classic
Klavierbegleitung die, -en;piano accompaniment
kleiden;to dress
Kleingartenverein, der, -e;allotment garden association
Kleinwagen, der, -;small car
klemmen;to pinch, to jam
klopfen;to knock
Kochidee, die, -n;cooking idea
Kochkurs, der, -e;cooking course
Koffer, der, -;suitcase
Komma, das, -s/Kommata;comma
komplett;complete
Komponist/in, der/die, -en/-nen;composer
Konto, das, Konten;account
Kontogebühr, die, -en;account fee
Kopfhörer, der, -;headphones
Kopie, die, -n;copy
Kopierer, der, -;copier, photocopier
Körper, der, -;body
kostenlos;free of charge
Krankengymnast/in, der/die, -en/-nen;physiotherapist
Krankenversicherung, die, -en;health insurance
Krankenwagen, der, -;ambulance
Krankheit, die, -en;illness, disease
kreativ;creative
Kreativität, die, Sg.;creativity
Kredit, der, -e;credit, loan
Kreditkarte, die, -n;credit card
Krimiserie, die, -n;crime series
Küchenhilfe, die, -n;kitchen helper
Küchenstudio, das, -s;kitchen showroom
Kühlregal, das, -e;cooling shelf, refrigerator shelf
kümmern (sich) (um);to take care of (someone/something)
Kundenzentrum, das, -zentren;customer center
Kunst, die, Sg. (hier: Schulfach);art (here: school subject)
Kurs, der, -e;course
Kurzprogramm, das, -e;short program
küssen (sich);to kiss (each other)
Küste, die, -n;coast, coastline
