German;English
vegan;vegan
Veganer/in, der/die, -/-nen;vegan (person)
Vegetarier/in, der/die, -/-nen;vegetarian (person)
vegetarisch;vegetarian
verabreden (sich) (zu);to arrange to meet (for)
Veranstaltung die, -en;event
Verband, der, -¨e;bandage, dressing; association
verbinden;to connect
verbrauchen;to consume
verbringen;to spend (time)
Verein, der, -e;club, association
vereinbaren;to arrange, to schedule (an appointment)
Vereinsleben, das, Sg.;club life, association life
vergleichen;to compare
verkehrsgünstig;with good transport links, conveniently located for transport
Verkehrsmeldung die, -en;traffic report
Verkehrsverbund, der, -¨e;public transport association (regional)
verkleiden (sich);to dress up, to wear a costume
verlassen;to leave, to abandon
verlassen (sich) (auf);to rely on, to depend on
verlegen;to misplace; to relocate
verlieben (sich);to fall in love
verlieren;to lose
vermeiden;to avoid
vermieten;to rent out, to let
vermissen;to miss (a person or thing)
verschieben;to postpone, to shift
verschieden;different, various
Versehen, das, (hier: aus Versehen);oversight, mistake (here: by mistake)
versichern;to insure; to assure
Versicherung, die, -en;insurance
Versicherungsschutz, der, Sg.;insurance cover
Versicherungsvertreter/in, der/die, -/-nen;insurance agent
verstehen (sich);to understand (each other), to get along
vertrauen;to trust
verwählen (sich);to dial a wrong number
verzichten (auf);to do without, to go without
vielfältig;diverse, varied
Vitamin, das, -e;vitamin
Vollzeit, die, Sg.;full-time
vor allem;above all, especially
Voraussetzung, die, -en;prerequisite, requirement
vorbeikommen;to come by, to stop by
vorgestern;the day before yesterday
vorher;before, previously
vorlesen;to read aloud
Vorort, der, -¨e;suburb
Vorschlag der, -¨e;suggestion, proposal
vorschlagen;to suggest
Vorsorgeuntersuchung die, -en;preventive medical check-up
Vorspeise, die, -n;appetizer, starter
vorsprechen;to audition; to speak to
vorstellen;to introduce, to imagine
vorstellen (sich);to introduce oneself
Vorstellungsgespräch, das, -e;job interview
