English;German
to be lucky;Glück haben
labor market, job market;der Arbeitsmarkt, Sg.
laboratory test;die Laboruntersuchung, -en
ladder;die Leiter, -n
the lake;der See -n
lake/sea;See
the lamp, lamps;die Lampe, -n
landlord;Vermieter
the landlord/landlady;der/die Vermieter/in, -/-nen
the landscape/scenery;die Landschaft, -en
language;Sprache
language problem;Sprachproblem
language school;Sprachschule
the language, languages;die Sprache, -n
laptop;Laptop
the laptop, laptops;der Laptop, -s
large city/metropolis;Großstadt
the large city/metropolis;die Großstadt, -e
to last;dauern
last/finally;zuletzt
late;spät
later;später
to laugh;lachen
lawyer, attorney;der Rechtsanwalt, -¨e
to lay, to put down (horizontal);legen
to laze about, to be idle;faulenzen
to laze around;faulenzen
to laze around/relax;faulenzen
to learn;lernen
to learn by heart/memorize;auswendig lernen
to learn, to study;lernen
learned;haben gelernt
Learning languages;Sprachen lernen
to leave a message;eine Nachricht hinterlassen
to leave behind, to leave (a message);hinterlassen
to leave/abandon;verlassen
left/on the left;links
the leg;das Bein, -e
legal advice;die Rechtsberatung, Sg.
legal expenses insurance;die Rechtsschutzversicherung, -en
the lesson/class (singular);der Unterricht Sg
lesson/class/instruction;Unterricht
Let's see / We'll see;Mal sehen
letter;Brief
letter (alphabet);Buchstabe
Letters;Buchstaben
liability insurance;die Haftpflichtversicherung, -en
library;Bibliothek
the library;die Bibliothek, -en
license plate;Autokennzeichen
license plates, number plates;Nummernschilder
to lie down;liegen
to lie, to be located (horizontal);liegen
to lie, to be situated;liegen
to lie/be located, lies, has lain;liegen, liegt, hat gelegen
life;Leben
the light (singular);das Licht, Sg
light blue;hellblau
The light doesn't work;Das Licht geht nicht
light/bright;hell
to like;mögen
to like, likes, has liked;mögen, mag, hat gemocht
to like/please;gefallen
likes, is pleasing to;gefällt
line;Linie
the line;die Linie, -n
the lips and the mouth;die Lippen und der Mund
to listen to music;Musik hören
to listen to the radio;Radio hören
listen up, hey listen;Hört mal
liter;Liter
the liter;der Liter, Sg
a little bit;ein bisschen
a little sick / slightly ill;bisschen krank
little space;wenig Platz
little time;wenig Zeit
little, not much, few;wenig
to live;leben
To live healthily;Gesund leben
to live in the big city;in der Großstadt leben
to live in the city;in der Stadt leben
to live in the countryside;auf dem Land leben
to live in the small town;in der Kleinstadt leben
to live, have lived;wohnen, haben gewohnt
to live/reside;wohnen
lively, vibrant;lebendig
living room;Wohnzimmer
the living room, living rooms;das Wohnzimmer, -
location;die Lage, -n
location/situation;Lage
lonely;einsam
long;lang
long - I mean the long skirt;lang - Ich meine den langen Rock
long (time) - I've been here for a long time;lange - Ich bin schon lange hier
look (colloquial imperative);Schau mal
to look forward (to) / to be happy (about);sich freuen (auf/über)
to look/appear, looks, has looked;aussehen, sieht aus, hat ausgesehen
to look/watch;gucken
looked at, viewed;angeschaut
Looking for an apartment;Eine Wohnung suchen
to lose;verlieren
to lose weight;abnehmen
a lot during training;viel beim Training
a lot of rubbish/trash;viel Müll
a lot of snow;viel Schnee
a lot of traffic;viel Verkehr
loud;laut
love;die Liebe, Sg.
to love;lieben
love old movies;liebe alte Filme
Lovely weather today.;Schönes Wetter heute.
low-fat;fettarm
luck/happiness;Glück
the lunch;das Mittagessen
the lunch break;die Mittagspause. -n
