German;English
gehe;I go (present)
ging;I went (simple past)
bin gegangen;I have gone (present perfect)
war gegangen;I had gone (past perfect)
werde gehen;I will go (future 1)
werde gegangen sein;I will have gone (future perfect)
gehst;you go (present, singular informal)
gingst;you went (simple past)
bist gegangen;you have gone (present perfect)
warst gegangen;you had gone (past perfect)
wirst gehen;you will go (future 1)
wirst gegangen sein;you will have gone (future perfect)
geht;he/she/it goes (present)
ging;he/she/it went (simple past)
ist gegangen;he/she/it has gone (present perfect)
war gegangen;he/she/it had gone (past perfect)
wird gehen;he/she/it will go (future 1)
wird gegangen sein;he/she/it will have gone (future perfect)
gehen;we go (present)
gingen;we went (simple past)
sind gegangen;we have gone (present perfect)
waren gegangen;we had gone (past perfect)
werden gehen;we will go (future 1)
werden gegangen sein;we will have gone (future perfect)
geht;you go (present, plural informal)
gingt;you went (simple past)
seid gegangen;you have gone (present perfect)
wart gegangen;you had gone (past perfect)
werdet gehen;you will go (future 1)
werdet gegangen sein;you will have gone (future perfect)
gehen;they / you (formal) go (present)
gingen;they / you (formal) went (simple past)
sind gegangen;they / you (formal) have gone (present perfect)
waren gegangen;they / you (formal) had gone (past perfect)
werden gehen;they / you (formal) will go (future 1)
werden gegangen sein;they / you (formal) will have gone (future perfect)
