German;English
habe;I have (present)
hatte;I had (simple past)
habe gehabt;I have had (present perfect)
hatte gehabt;I had had (past perfect)
werde haben;I will have (future 1)
werde gehabt haben;I will have had (future perfect)
hast;you have (present, singular informal)
hattest;you had (simple past)
hast gehabt;you have had (present perfect)
hattest gehabt;you had had (past perfect)
wirst haben;you will have (future 1)
wirst gehabt haben;you will have had (future perfect)
hat;he/she/it has (present)
hatte;he/she/it had (simple past)
hat gehabt;he/she/it has had (present perfect)
hatte gehabt;he/she/it had had (past perfect)
wird haben;he/she/it will have (future 1)
wird gehabt haben;he/she/it will have had (future perfect)
haben;we have (present)
hatten;we had (simple past)
haben gehabt;we have had (present perfect)
hatten gehabt;we had had (past perfect)
werden haben;we will have (future 1)
werden gehabt haben;we will have had (future perfect)
habt;you have (present, plural informal)
hattet;you had (simple past)
habt gehabt;you have had (present perfect)
hattet gehabt;you had had (past perfect)
werdet haben;you will have (future 1)
werdet gehabt haben;you will have had (future perfect)
haben;they / you (formal) have (present)
hatten;they / you (formal) had (simple past)
haben gehabt;they / you (formal) have had (present perfect)
hatten gehabt;they / you (formal) had had (past perfect)
werden haben;they / you (formal) will have (future 1)
werden gehabt haben;they / you (formal) will have had (future perfect)
