German;English
Fabrik, die, -en;factory / plant
fachlich;technical / professional / expert
Fahrbahn, die, -en;roadway / carriageway
Fahrerflucht, die, Sg.;hit and run / fleeing the scene
Fahrgast, der, “-e;passenger (on vehicle)
Fahrplan, der, “-e;schedule / timetable
Fahrpreis, der, -e;fare
Fahrstreifen, der, -;lane (traffic)
Fahrzeug, das, -e;vehicle
Fahrzeughalter/in, der/die, -/-nen;vehicle owner / registered keeper
Fahrzeugpapiere, Pl.;vehicle documents / car papers
Fahrzeugtyp, der, -en;vehicle type
Fakt, der, -en;fact
Faktor, der, -en;factor
Fall, der (hier: auf jeden/keinen Fall);case (here: in any case / under no circumstances)
Falschfahrer/in, der/die, -/-nen;wrong-way driver
Familienfeier, die, -n;family celebration
Familienmodell, das, -e;family model
Familiensituation, die, -en;family situation
Fan, der, -s;fan
faul;lazy
fehlen;to be missing / to lack
feierlich;ceremonial / solemn
Feld, das, -er;field
Ferienbeginn, der, Sg.;start of holidays / beginning of vacation
Fernsehauftritt, der, -e;TV appearance
Fernsehserie, die, -n;TV series
festlegen;to determine / to set / to establish
feststellen;to determine / to notice / to ascertain
Festanstellung, die, -en;permanent employment / full-time position
Finanzamt, das, “-er;tax office
Finanzberater/in, der/die, -/-nen;financial advisor
Finanzen, Pl.;finances
finanziell;financial / financially
Finanzierung, die, -en;financing / funding
Firmenhauptsitz, der, -e;company headquarters
Fischer/in, der/die, -/-nen;fisherman / fisher
Flagge, die, -n;flag
Flüchtling, der, -e;refugee
Flugausfall, der, “-e;flight cancellation
Fluggesellschaft, die, -en;airline
Flughafenmitarbeiter/in, der/die, -/-nen;airport employee
Flugschiff, das, -e;flying boat / airship
Flyer, der, -;flyer / leaflet
Folge, die, -n;consequence / result / episode
folgen;to follow
folgende;following / next
fordern;to demand / to require
Förderprogramm, das, -e;funding program / support scheme
Form, die, -en;form / shape / type
Fortschritt, der, -e;progress / advancement
fortschrittlich;progressive / advanced
Formatierung, die, -en;formatting
Formulierung, die, -en;wording / phrasing / formulation
fossil;fossil
freigeben;to release / to clear / to de-restrict
Freiheit, die, Sg.;freedom / liberty
Freizeitangebot, das, -e;leisure activity offering / free time program
Freizeitpark, der, -s;amusement park / theme park
Freundeskreis, der, -e;circle of friends / social network
Freundlichkeit, die, Sg.;friendliness / kindness
Frieden, der, Sg.;peace
frieren;to freeze / to be cold
frisch;fresh / new / cool
Frühstücksbrötchen, das, -;breakfast roll
Frühstücksservice, der, -e;breakfast service
führen;to lead / to conduct / to manage
Führungsposition, die, -en;leadership position / management role
Funktion, die, -en;function
Fußballschuh, der, -e;soccer shoe / football boot
Fußgänger/in, der/die, -/-nen;pedestrian
Fußgängerzone, die, -n;pedestrian zone / pedestrian area
