English;German
Families in the past;Familien früher
family;Familie
family benefits office;Familienkasse
family benefits office (for child benefits);Familienkasse
family doctor/general practitioner;Hausarzt/Hausärztin
family life;Familienleben
family name/surname;Familienname
family photo;Familienfoto
Family photos;Familienfotos
fantastic;fantastisch
far;weit
far/wide;weit
farm;Bauernhof
fast;schnell
fast/quick;schnell
fat;das Fett, -e
father;Vater
favorable offers, good deals;günstige Angebote
favorable, inexpensive;günstig
favorable/affordable;günstig
favorite color;Lieblingsfarbe
favorite subject;das Lieblingsfach, -er
February;der Februar
Federal Employment Agency;Bundesagentur für Arbeit
fee;Gebühr
fee, charge;die Gebühr, -en
fee/charge;Gebühr
female;weiblich
female students;Studentinnen
female/feminine;weiblich
festival committee;Festkomitee
festival/party;Fest
fever;Fieber
fever thermometer;Fieberthermometer
few (dative/genitive plural);wenigen
few minutes;wenigen Minuten
filled out;ausgefüllt
film/movie;Film
final examination;die Abschlussprüfung, -en
finally/at last;endlich
fine sand;feiner Sand
fine, penalty;die Strafe, -n
finger;Finger
fire;Feuer
fire department;Feuerwehr
fireworks;das Feuerwerk, -e
first;zuerst
first (feminine/plural form);Erste
First (he/she) reads;Zuerst liest
first (plural/accusative/dative);ersten
first name;Vorname
first on foot;erst zu Fuß
first, at first;zuerst
first, for now;erst mal
first, have a tea for now;jetzt erst mal einen Tee
first/at first;zuerst
first/only;erst
first/second class;die Erste/Zweite Klasse
fish;Fisch
fitness center;das Fitnesscenter, -
fits, suits, works;Passt
fitted kitchen;die Einbauküche, -n
five times;fünfmal
flea market;Flohmarkt
flexible;flexibel
flight;der Flug, -¨e
flight ticket;das Flugticket, -s
floor, ground;der Boden, -
floor/story/stick;Stock
floors, stories;Stockwerke
floors/stories;Stockwerke
flower;Blume
flowers;Blumen
flowers bloom;Blumen blühen
flu;Grippe
folder, binder;der Ordner, -
follow-up question;Rückfrage
Food in Germany;Essen in Deutschland
food/meal;Essen
foot;Fuß
football (soccer) club;der Fußballverein, -e
for;für
for - What exactly is bothering you?;denn - Was fehlt Ihnen denn?
for a long time already;schon lang(e)
for example;zum Beispiel
for it/in favor;dafür
for me;für mich
for school;für die Schule
for that, for this purpose;dafür
for the children;für die Kinder
foreign;ausländisch
foreign country;Ausland
foreign language;die Fremdsprache, -n
foreigners' office;Ausländeramt
forest;Wald
forget (imperative/infinitive);vergiss
fork;die Gabel, -n
form;Formular
formal;formell
Formal and informal;Formell und informell
free of charge;kostenlos
Free time with the family;Freizeit mit der Familie
free time/leisure;Freizeit
free/available;frei
frequent/frequently;häufig
Friday;Freitag
friend (male);Freund
friendly;freundlich
friendly, (Yours sincerely);freundlich, ( Mit freundlichen Grüßen)
friendship;die Freundschaft, -en
friendship society;der Freundschaftsverein, -e
from;ab
from - She's coming from work;von - Sie kommt von der Arbeit
from ... to by profession;von ... bis von Beruf
from where;woher
from...to;von...bis
from/of;von
front door, main entrance door;Haustür
fruit;das Obst
fruit and vegetable shop;Obst- und Gemüseladen
fruit and vegetable store;Obst- und Gemüseladen
fun;Spaß
funny/amusing;lustig
funny/strange;komisch
furniture;Möbel
further education, continuing education;die Weiterbildung, -en
further training, professional development;die Fortbildung, -en
