German;English
der Kinderwagen, -;the stroller
die Mülltonne, -n;the garbage bin
der Hof, -e;the yard/court
die Klingel -n;the doorbell
die Treppe, -n;the stairs
das Licht, Sg;the light (singular)
der Aufzug, -e;the elevator
das Treppenhaus, -er;the stairwell
(A) Die Nachbarn;The neighbors
der Nachbar, -n;the neighbor (male)
die Nachbarin, -nen;the neighbor (female)
stören;to disturb/bother
die Bitte, -n;the request
gerade;just/straight
Gern geschehen!;You're welcome!
das Paket, -e;the parcel
ein Paket abgeben;to drop off a parcel
das Päckchen, -;the small parcel
das Salz, Sg;the salt (singular)
die Tasse, -n;the cup
Blumen gießen;to water flowers
das Hoffest, -e;the yard festival
feiern;to celebrate
der Grill, -s;the grill
das Essen, Sg;the food/meal (singular)
schmecken;to taste
Glück haben;to be lucky
wunderbar;wonderful
(B) Probleme im Haus;Problems in the house
funktionieren;to work/function
Das Licht geht nicht;The light doesn't work
die Heizung -en;the heating
der Müll, Sg;the garbage/trash (singular)
die Tonne, -n;the bin/ton
die Müllabfuhr, Sg;the garbage collection (singular)
stellen;to place/put
schmutzig;dirty
riechen;to smell
ärgerlich;annoying
bestellen;to order
gefährlich;dangerous
der Keller, -;the cellar/basement
Fahrräder abstellen;to park bicycles
denn;because/for
aber;but
der Absender, -;the sender
der/die Empfänger/in, -/-nen;the recipient (male/female)
der Gruß, -e;the greeting
die Unterschrift, -en;the signature
die Anrede, -n;the salutation
(C) Auf dem Spielplatz;On the playground
der Spielplatz, -e;the playground
der Sandkasten -;the sandbox
der Junge, -n;the boy
das Mädchen,-;the girl
neugierig;curious
streiten;to argue/fight
Kinder betreuen;to supervise children
der Kindergartenplatz, -e;the kindergarten spot
