German,English
fernsehen.,to watch TV.
Karten spielen.,to play cards.
im Internet surfen.,to surf the internet.
kochen.,to cook.
basteln.,to do crafts/make things.
ausgehen.,to go out.
ein Würfelspiel spielen.,to play a dice game.
ein Buch lesen.,to read a book.
Musik hören.,to listen to music.
tanzen.,to dance.
Karaoke singen.,to sing karaoke.
chillen.,to chill/hang out.
Volleyball spielen.,to play volleyball.
zelfen.,(likely typo) possibly "zelten" (to camp) or "zelebrieren" (to celebrate).
kegeln.,to bowl (nine-pin bowling).
fotografieren.,to take photographs.
joggen.,to jog.
wandern.,to hike.
Fußball spielen.,to play soccer.
schwimmen gehen.,to go swimming.
Freunde treffen.,to meet friends.
einen Film sehen.,to watch a film.
schlafen.,to sleep.
Musik machen.,to make/play music.
