German;English
Was ist Ihr Problem;What is your problem
ein Gespräch mit dem Abteilungsleiter;a conversation with the department head
Er hat mir gesagt, dass die Firma mir kündigen will;He told me that the company wants to dismiss me
Was soll ich tun;What should I do
Ich habe Angst;I am afraid
noch keine schriftliche Kündigung;no written dismissal yet
der Abteilungsleiter hat gesagt, warum die Firma Ihnen kündigen will;the department head said why the company wants to dismiss you
nicht ganz verstanden;didn't quite understand
dass unsere Abteilung, also die Einkaufsabteilung, für die Firma zu teuer ist;that our department, meaning the purchasing department, is too expensive for the company
schon etwas über Änderungen in der Einkaufsabteilung gehört;already heard something about changes in the purchasing department
keine genauen Informationen;no exact information
ich rufe jetzt Ihren Abteilungsleiter an;I'll call your department head now
frage ihn mal, was los ist;ask him what's going on
Ich hoffe wirklich, dass ich hier weiter arbeiten kann;I really hope that I can continue working here
haben Sie schon die Dokumente für die Konferenz kopiert?;have you already copied the documents for the conference?
die brauchen Sie doch erst morgen;you only need them tomorrow after all
habe Ihnen gestern gesagt, dass ich sie heute Nachmittag brauche;I told you yesterday that I need them this afternoon
Das habe ich wohl falsch verstanden;I must have misunderstood that
Ich mache die Kopien sofort;I will make the copies immediately



