German;English
ankommen, sind angekommen;to arrive, have arrived
wohnen, haben gewohnt;to live, have lived
(den Bus) nehmen, haben (den Bus) genommen;(the bus) to take, have taken (the bus)
(eine Stadtrundfahrt) machen, haben (eine Stadtrundfahrt) gemacht;(a city tour) to make, have made (a city tour)
fahren, sind gefahren;to travel, have traveled
sehen, haben gesehen;to see, have seen
trinken, haben getrunken;to drink, have drunk
gehen, sind gegangen;to go, have gone
(spät) aufstehen, sind (spät) aufgestanden;(late) to get up, have gotten up (late)
sitzen, haben gesessen;to sit, have sat
(einen Ausflug) machen, haben (einen Ausflug) gemacht;(an excursion) to make, have made (an excursion)
essen, haben gegessen;to eat, have eaten
