German;English
Kaffeefilter, der, -;coffee filter
kämpfen;to fight / to struggle / to battle
Kandidat/in, der/die, -en/-nen;candidate
kandidieren;to run for office / to be a candidate
Kassenzettel, der, -;receipt
katastrophal;catastrophic / disastrous
kaufmännisch;commercial / business (related)
Kaufvertrag, der, “-e;purchase contract / sales agreement
kaum;barely / hardly / scarcely
Kernenergie, die, Sg.;nuclear energy
Kernkraftwerk, das, -e;nuclear power plant
Kfz-Haftpflichtversicherung, die, -en;motor vehicle liability insurance
Kfz-Steuer, die, -n;vehicle tax / car tax
Kindergartenplatz, der, “-e;kindergarten place / nursery spot
Kindersitz, der, -e;child seat / car seat
Kirche, die, -n;church
Kirchensteuer, die, -n;church tax
Klavier, das, -e;piano
klettern;to climb
Klima, das, Sg.;climate
Klimabericht, der, -e;climate report
Klimaveränderung, die, -en;climate change
Klimawandel, der, Sg.;climate change
klug;clever / smart / intelligent
knapp;scarce / tight / brief / nearly
knüpfen (hier: Kontakte knüpfen);to make / to tie (here: to make contacts)
Kofferraum, der, “-e;trunk / boot (of a car)
Kohle, die, -n;coal
Kohlekraftwerk, das, -e;coal power plant
Kommissar/in, der/die, -e/-nen;commissioner / detective inspector
kommunal;municipal / local
Kommunalpolitik, die, Sg.;local politics
Kommunalwahl, die, -en;local election / municipal election
Kommune, die, -n;municipality / commune
kommunizieren;to communicate
kompetent;competent / qualified
Kompromiss, der, -e;compromise
Konferenzraum, der, “-e;conference room
Konflikt, der, -e;conflict / dispute / clash
Kongress, der, -e;conference / congress
König/in, der/die, -e/-nen;king / queen
Konkurrent/in, der/die, -en/-nen;competitor / rival
Konkurrenz, die, Sg.;competition / rivals
konservativ;conservative
konzentrieren (sich);to concentrate (oneself) / to focus
Konzerttour, die, -en;concert tour
Konzerttournee, die, -n;concert tour
körperlich;physical / bodily
korrigieren;to correct
Kosten, Pl.;costs / expenses
Krafttraining, das, Sg.;strength training
Krankenhauszimmer, das, -;hospital room
Krankheitssymptom, das, -e;symptom of illness
Kreuzfahrt, die, -en;cruise
Krieg, der, -e;war
Kriegswaise, der/die, -n;war orphan
Kriminalität, die, Sg.;crime
Kritik, die, -en;criticism / critique
kritisieren;to criticize
Kuh, die, “-e;cow
kulant;accommodating / courteous / customer-friendly
Kultur, die, (hier: Sg.);culture
Kulturangebot, das, -e;cultural offering / cultural program
Kulturpolitik, die, Sg.;cultural policy
Kulturzentrum, das, -zentren;cultural center
Kundenanfrage, die, -n;customer inquiry
Kundenbetreuer/in, der/die, -/-nen;customer service representative / account manager
Kundenbetreuung, die, Sg.;customer care / customer service
Kundendienst, der, Sg.;customer service
Kundenkontakt, der, -e;customer contact
Kundenservice, der, Sg.;customer service
kündigen;to terminate / to quit / to cancel (contract)
Kündigungsschutz, der, Sg.;protection against dismissal / job security
künstlerisch;artistic
Künstlermanager/in, der/die, -/-nen;artist manager
Kupplung, die, -en;clutch
Kursteilnehmer/in, der/die, -/-nen;course participant
