German;English
Arbeitswelten;working worlds / work environments
Betriebsausflug;company outing
Viele Betriebe;many companies
einmal pro Jahr einen Betriebsausflug;a company outing once a year
eine Bus- oder Schiffstour;a bus or boat tour
besichtigen Sehenswürdigkeiten;visit sights
die Mitarbeiter der Firma werden sportlich aktiv;the company employees become physically active
klettern oder machen eine Kanutour;climb or go on a canoe trip
bezahlt die Firma die Aktivitäten;the company pays for the activities
Das klingt gut;That sounds good
Betriebsausflüge beliebt;company outings are popular
Was sagen die Arbeitnehmer;what do the employees say
vier Menschen befragt;four people surveyed
