English;German
sale;Verkauf, der, “-e
sales department;Verkaufsabteilung, die, -en
sales office / distribution office;Vertriebsbüro, das, -s
scarce / tight / brief / nearly;knapp
schedule / timetable;Fahrplan, der, “-e
school class;Schulklasse, die, -n
scientist;Wissenschaftler/in, der/die, -/-nen
sea level;Meeresspiegel, der, -
search;Suche, die, Sg.
seat / headquarters;Sitz, der, -e
seatbelt / safety belt;Sicherheitsgurt, der, -e
secondary school certificate (intermediate level);Realschulabschluss, der, “-e
section / segment / paragraph;Abschnitt, der, -e
security / safety / certainty;Sicherheit, die, -en
selection / choice / variety;Auswahl, die, Sg.
self-employed / independent;selbstständig
self-employed person;Selbstständige, der/die, -n
selfie;Selfie, das, -s
senior / elderly person;Senior/in, der/die, -en/-nen
sense of community / togetherness;Gemeinschaftsgefühl, das, Sg.
service;Dienstleistung, die, -en
settlement / billing / accounting;Abrechnung, die, -en
several times / repeatedly;mehrmals
severance pay / compensation;Abfindung, die, -en
share / portion;Anteil, der, -e
sheep;Schaf, das, -e
shop / store;Laden, der, “-
shopping cart;Warenkorb, der, -e
should / ought to / to be supposed to;sollen
shy / timid;scheu
side mirror;Seitenspiegel, der, -
silent film;Stummfilm, der, -e
since / ever since;seit, seitdem
singer;Sänger/in, der/die, -/-nen
single / unmarried / living alone;alleinstehend
single-parent;alleinerziehend
single-parent / raising a child alone;alleinerziehend
single-use packaging;Einwegverpackung, die, -en
sister-in-law;Schwägerin, die, -nen
skiing;Skifahren, das, Sg.
sleep;Schlaf, der, Sg.
smartphone contract;Smartphone-Vertrag, der, “-e
so far / previously / up to now;bisher
so-called;sogenannt
soccer shoe / football boot;Fußballschuh, der, -e
social / societal;gesellschaftlich
social benefit / welfare benefit;Sozialleistung, die -en
social democratic;sozialdemokratisch
social networks;Die sozialen Netzwerke
social plan (redundancy agreement);Sozialplan, der, -e
social security;Sozialversicherung, die, -en
socialist;sozialistisch
society / company / companionship;Gesellschaft, die, -en
solar energy;Solarenergie, die, Sg.
solar system / solar installation;Solaranlage, die, -n
solidarity surcharge;Solidarzuschlag, der, “-e
solution;Lösung, die, -en
something is overcrowded / packed;etw. ist überfüllt / überfüllt sein
soul;Seele, die, -n
speed / pace / tempo;Tempo, das, Sg.
speed limit;Geschwindigkeitsbeschränkung, die, -en
spinach;Spinat, der, -e
sports facility;Sportanlage, die, -n
sports teacher / PE teacher;Sportlehrer/in, der/die,-/-nen
stable / barn;Stall, der, “-e
start / beginning / launch;Start, der, -s
start of holidays / beginning of vacation;Ferienbeginn, der, Sg.
startup founder;Existenzgründer/in, der/die, -/-nen
startup founder / entrepreneur;Existenzgründer/in, der/die, -/-nen
startup founder course;Existenzgründerkurs, der, -e
startup seminar / entrepreneurship seminar;Existenzgründerseminar, das, -e
state / country;Staat, der, -en
state foreigners' advisory council;Landerausländerbeirat, der, “-e
state government;Landesregierung, die, -en
state parliament;Landtag, der, -e
state-of-the-art / highly modern;hochmodern
statement / testimony;Aussage, die, -n
steering wheel;Lenkrad, das, “-er
step / stride;Schritt, der, -e
storm / severe weather;Unwetter, das, -
story / narrative / tale;Erzählung, die, -en
stream / brook / creek;Bach, der, “-e
strength;Stärke, die, -n
strength training;Krafttraining, das, Sg.
strengths;Stärken, die, Pl.
strike;Streik, der, -s
style;Stil, der, -e
subject line;Betreffzeile, die -n
suggestion / idea / inspiration;Anregung, die, -en
sum / amount / total;Summe, die, -n
supplier;Zulieferer, der, -
supplier / vendor;Lieferant/in, der/die,-en/-nen
support / assistance / backing;Unterstützung, die, -en
survey / interview / questioning;Befragung, die, -en
sweet / kind / dear;lieb
symptom;Symptom, das, -e
symptom of illness;Krankheitssymptom, das, -e
system;System, das, -e
systematic;systematisch
