English;German
ugly;hässlich
uncertain, insecure;unsicher
uncle;Onkel
the uncle, uncles;der Onkel, -
uncomfortable;unbequem
uncomfortable/uncozy;ungemütlich
uncomplicated;unkompliziert
uncool;uncool
under;unter
under/below;unter
to understand;verstehen
to understand each other, to get along;sich verstehen
to understand everything;alles verstehen
to understand, understands, has understood;verstehen, versteht, hat verstanden
to undertake, to do (an activity);unternehmen
underwear;Unterwäsche
the underwear (singular);die Unterwäsche, Sg
unfortunately;Leider
unfortunately boring;leider langweilig
Unfortunately I earn;Leider verdiene
unfortunately no longer lives;lebt leider nicht mehr
unfortunately not;leider nicht
Unfortunately not here at the moment;Moment leider nicht da
unfortunately only;leider nur
unfortunately very difficult;leider sehr schwer
Unfortunately, I don't have the exact change;Ich habe es leider nicht passend
unfriendly;unfreundlich
unique;einzigartig
unique (feminine/plural adjective);einzigartige
university entrance qualification, A-levels equivalent;das Abitur, Sg.
university place;der Studienplatz, -e
university student;Student
the university, universities;die Universität, -en
unpleasant, disagreeable;unsympathisch
unsolicited application, speculative application;die Initiativbewerbung, -en
untidy/messy;unordentlich
until shortly before five;bis kurz vor fünf
until the next intersection;bis zur nächsten Kreuzung
Until when;Bis wann
upper floor;Obergeschoss
the upper leg (thigh) and the lower leg (shin);der Oberschenkel und der Unterschenkel
urgent;dringend
urgent/urgently;dringend
urgently an apartment;dringend eine Wohnung
the USB stick;der USB-Stick
USB stick/flash drive;USB-Stick
to use;benutzen
used car, second-hand car;der Gebrauchtwagen, -
useful/helpful;nützlich
utilities, additional costs;Nebenkosten
the utilities, additional costs;die Nebenkosten
