English;German
to be called, is called, has been called;heißen, heißt, hat geheißen
to be correct;stimmen
cabinet, wardrobe;Schrank
the cafe;das Cafe -e
cafeteria/canteen;Kantine
cake;der Kuchen
calendar;Kalender
to call;anrufen
to call back;zurückrufen
call the doctor;rufe beim Arzt an
to call, calls, has called;anrufen, ruft an, hat angerufen
called the property management;Hausverwaltung angerufen
called, shouted;hat gerufen
caller;der/die Anrufer/in, -/-nen
came;bin gekommen
camera;die Kamera, -s
the campsite;der Campingplatz, -e
Can you help me?;Können Sie mir helfen?
can you listen to a little music?;kannst du ein bisschen Musik hören
Can you repeat that?;Kannst du das wiederholen
the can/tin, cans;die Dose, -n
candle;die Kerze, -n
cannot explain it exactly;kann es nicht genau erklären
canoe tour;Kanutour
canoeing;Kanufahren
car;Auto
car accident;der Autounfall, -e
car breakdown;die Autopanne, -n
car key;Autoschlüssel
the car key;der Autoschlüssel, -
car key was gone / lost;Autoschlüssel war weg
car mechanic;Automechaniker
the car mechanic (male/female);der/die Kfz-Mechaniker/in-/-nen
car registration;die Autoanmeldung, -en
car repair shop, garage;die Autowerkstatt, -en
car-free;autofrei
car, vehicle;der Wagen, -
cards, tickets, maps;Karten
care service, nursing service;der Pflegedienst, -e
the career counseling;die Berufsberatung, -en
careers advisor, employment counselor;der/die Arbeitsberater/in, -/-nen
caretaker, janitor;Hausmeister
the caretaker, janitor (female);die Hausmeisterin
carpet, rug;Teppich
the carpet/rug, carpets;der Teppich, -e
case of water;Kasten Wasser
case worker/clerk;Sachbearbeiter
the case worker/clerk;der/die Sachbearbeiter/in, -/-nen
the cash desk/register;die Kasse, -n
cash desk/register (health insurance fund);Kasse ( Krankenkasse)
cashless;bargeldlos
castle, fortress;die Burg, -en
castle/lock;Schloss
cat;die Katze, -n
catalog, brochure;der Katalog, -e
cats;Katzen
caution, care;Vorsicht
the CD;die CD
the CD player;der CD-Player
the CD, CDs;die CD, -s
the CDs;die CDs
to celebrate;feiern
cell phone;Handy
cell phone number;Handynummer
the cell phone, cell phones;das Handy, -s
the cellar/basement;der Keller, -
cent;Cent
central;zentral
central heating;Zentralheizung
the central heating, central heating systems;die Zentralheizung, -en
cereal products, grain products;die Getreideprodukte, Pl.
certain/certainly;bestimmt
certainly good;sicher gut
certainly interesting;sicher interessant
chain, necklace;die Kette, -n
chair;Stuhl
the chair;der Stuhl
the chair, chairs;der Stuhl, -e
chairs;Stühle
the chairs;die Stühle
chance/opportunity;Chance
to change (transport), changes, has changed;umsteigen, steigt um, ist umgestiegen
to change something;etwas ändern
to change, exchange (money);wechseln
to change/exchange;wechseln
the changing room;die Umkleidekabine, -n
changing room, fitting room;Umkleidekabine
the changing room, fitting room;die Umkleidekabine
changing room/dressing room;Umkleidekabine
changing rooms, fitting rooms;Umkleidekabinen
chaos;das Chaos, Sg.
characteristic, quality;die Eigenschaft, -en
to chat;chatten
cheap, inexpensive;billig
to check emails;E-Mails checken
to check in;einchecken
to check, to examine;prüfen
to check, to look (for something);nachsehen
the check/control;die Kontrolle, -n
to check/control;kontrollieren
to check/look up, checks, has checked;nachsehen, sieht nach, hat nachgesehen
checking account, current account;das Girokonto, -konten
cheese;Käse
cheese platte;Käseplatte
cheesecake;Käsekuchen
chemistry;die Chemie, Sg
chess;Schach
chess game;Schachspiel
chest of drawers;Kommode
chewing gum;Kaugummi
chic, stylish, smart;schick
chic/elegant;schick
chicken;Hähnchen
the chicken, chickens;das Hähnchen, -
Chicken, Fish, Ham, Salami;Hähnchen, Fisch, Schinken, Salami
child;Kind
child benefit;Kindergeld
the child benefit (singular);das Kindergeld, Sg
child benefit application;Kindergeldantrag
the child benefit application;der Kindergeldantrag -e
child benefit, child allowance;Kindergeld
childcare;Kinderbetreuung
childhood;Kindheit
children's things, kids' clothes;Kindersachen
to chill, relax, hang out;chillen
Chinese (language);Chinesisch
chips/crisps;Chips
the chocolate;die Schokolade, Sg
Christmas;Weihnachten
cinema/movie theater;Kino
the cinema/movie theater, cinemas;das Kino, -s
cities and villages;Städte und Dörfer
citizens' office;Bürgeramt
the citizens' office;das Bürgeramt, -er
citizens' office, registration office;Bürgeramt
city administration;die Stadtverwaltung, -en
city center;das Stadtzentrum, Sg.
the city center (singular);die Stadtmitte, Sg
city center, downtown;die Innenstadt, -e
city cleaning/public sanitation;Stadtreinigung
city sightseeing tour;Stadtrundfahrt
city stroll/shopping trip;Stadtbummel
city tour;Städtetour
the city tour;die Stadtrundfahrt, -en
city, town;Stadt
the city/town;die Stadt, -e
claim/entitlement;Anspruch
class;die Klasse, -n
class - (First/Second class);Klasse - (Erste/Zweite Klasse)
class fund;die Klassenkasse, -n
class teacher, homeroom teacher;der/die Klassenlehrer/in,-/-nen
class test, written exam;die Klassenarbeit, -en
class trip, school trip;die Klassenfahrt, -en
clean;sauber
to clean;putzen
clean, dirty;sauber, schmutzig
the cleaner, cleaning staff;die Reinigungskraft
the cleaning staff member;die Reinigungskraft, -e
clear/clearly/marked;deutlich
clear/okay;klar
to climb stairs;Treppen steigen
to climb, to rise, to get on/in (a vehicle);steigen
climbed a mountain;sind auf einen Berg gestiegen
the clock, watch;die Uhr
clock/watch/o'clock;Uhr
the clock/watch/o'clock, clocks;die Uhr, -en
the clocks, watches;die Uhren
to close;schließen
clothing;Kleidung
the clothing (singular);die Kleidung, Sg
clothing, clothes;Kleidung
cloud;Wolke
the cloud;die Wolke, -n
cloud in the sky;Wolke am Himmel
cloudy;bewölkt
cloudy with rain;bewölkt mit Regen
club;Club
club life, association life;das Vereinsleben, Sg.
