English;German
a permanent position;eine feste Stelle
A4 paper;das A4-Papier, Sg.
ability, capability;die Fähigkeit, -en
above all, especially;vor allem
absolutely sure;ganz sicher
absolutely/definitely;unbedingt
accommodation;die Unterkunft, -e
account;das Konto, Konten
account fee;die Kontogebühr, -en
accounting, accounts department;die Buchhaltung, -en
acquaintance;der/die Bekannte, -en
active;aktiv
activity, job duties;die Tätigkeit, -en
actually/really;eigentlich
adult;der/die Erwachsene, -n
advanced learner, intermediate;der/die Fortgeschrittene, -n/-n
advantage;der Vorteil, -e
against it/on the other hand;dagegen
All about the Internet;(A) Rund ums Internet
All the best!;Alles Gute!
allotment garden association;der Kleingartenverein, -e
anniversary (often a milestone);das Jubiläum, Jubiläen
annoyed/irritated;genervt
appetizer, starter;die Vorspeise, -n
application;die Bewerbung, -en
application documents;die Bewerbungsunterlagen, Pl.
application photo;das Bewerbungsfoto, -s
apprenticeship position, training place;der Ausbildungsplatz, -¨e
art;die Kunst, Sg.
as: He works as an educator.;als: Er arbeitet als Erzieher.
at any time, anytime;jederzeit
at least;mindestens
at the moment, currently;zurzeit
at three years old;mit drei Jahren
automotive mechatronics technician;der/die Kfz-Mechatroniker/in, -/-nen
