German;English
E-Book, das, -s;e-book
echt;real, genuine
Ehefrau, die, -en;wife
Ehemann, der, -¨er;husband
ehrenamtlich;voluntary, honorary, unpaid
ehrlich;honest
eifersüchtig;jealous
Eigenschaft, die, -en;characteristic, quality
eigentlich;actually, really
eignen (sich);to be suitable (for)
einbauen;to build in, to install
Einbauküche, die, -n;fitted kitchen
einchecken;to check in
Einkaufsstraße, die, -n;shopping street
Einnahme, die, -n;intake (of medicine); receipt (of money)
einnehmen;to take (medicine)
einräumen;to admit, to concede; to put away
einsam;lonely
einschalten;to turn on, to switch on
einsetzen (sich) (für);to advocate (for), to campaign (for)
einstellen (sich) (auf);to adjust (to)
Einstieg, der, Sg.;entry, start
einverstanden;in agreement
einwerfen;to insert (e.g., coins)
einzahlen;to deposit, pay in
Einzahlung, die, -en;deposit, payment in
einzig;only, sole
Elternabend, der, -e;parents' evening
E-Mail-Programm, das, -e;email program
E-Mail, die, -s;email
empfehlen;to recommend
empfindlich;sensitive
Ende, das, Sg.;end
endlich;finally
Energie, die, -n;energy
Energieeffizienz, die, Sg.;energy efficiency
energisch;energetic, forceful
eng;tight, narrow
engagieren (sich);to get involved, to commit oneself
engagiert;committed, dedicated
entdecken;to discover
entfernt;distant, remote
entschuldigen (sich);to apologize
entsorgen;to dispose of
entspannen (sich);to relax
entspannend;relaxing
Entspannung, die, Sg.;relaxation
enttäuscht;disappointed
Erdkunde, die, Sg. (hier: Schulfach);geography (here: school subject)
Erfahrung, die, -en;experience
Erfolg, der, -e;success
erfolgreich;successful
erforderlich;necessary, required
Ergebnis, das, -se;result
erinnern (sich) (an);to remember
Erinnerung, die, -en;memory
erkennen;to recognize, to identify
erleben;to experience
Erlebnis, das, -se;experience, event
erledigen;to take care of, to get done
ernähren (sich);to eat, to nourish oneself
Ernährung, die, Sg.;nutrition, diet
ernst;serious
eröffnen;to open (e.g., an account)
erreichbar;reachable, contactable
erschöpft;exhausted
Erste-Hilfe, die, Sg.;first aid
Erste-Hilfe-Zentrum, das, Pl. -Zentren;first aid center
Ersthelfer/in, der/die, -/-nen;first aider
Erwachsene, der/die, -n;adult
erzählen;to tell, to narrate
Erzieher/in, der/die, -/-nen;educator, childcare worker
Esszimmer, das, -;dining room
Existenz, die, Sg.;existence, livelihood
Existenzgründerkurs, der, -e;business start-up course
