English;German
talent;Talent, das, -e
tank / fuel tank;Tank, der, “-e
tap / faucet / rooster / cock;Hahn, der, “-e
tax;Steuer, die, -n
tax class;Steuerklasse, die, -n
tax office;Finanzamt, das, “-er
teacher;Lehrkraft, die, “-e
technical / professional / expert;fachlich
telephone connection / landline;Telefonanschluss, der, “-e
terms and conditions;Allgemeine Geschäftsbedingungen (AGB), Pl.
terms and conditions / general terms;Allgemeine Geschäftsbedingungen (AGB), Pl.
test;Test, der, -s
the ... the (e.g., the more ... the better);je ... desto
the business is going well;Das Geschäft läuft gut
the health insurance company informs;Die Krankenkasse informiert
the mustard salon;Der Senfsalon
the path to self-employment;Der Weg in die Selbstständigkeit
the payroll / salary statement;Die Gehaltsabrechnung
the political system of Germany;Das politische System Deutschlands
the same;der-/das-/dieselbe, dieselben
the written application;Die schriftliche Bewerbung
the... the (e.g., the more... the better);je... desto
theater;Theater, das, -
theater production;Theaterproduktion, die, -en
theft;Diebstahl, der, Sg.
thereby / meanwhile / with it;dabei
third (one third);Drittel, das, -
tips for a long life;Tipps für ein langes Leben
tire;Reifen, der, -
tire pressure;Reifendruck, der, Sg.
to accept;akzeptieren
to accept / to assume / to adopt;annehmen
to accept / to tolerate;akzeptieren
to achieve a goal;ein Ziel erreichen
to add;hinzufügen
to advise / to counsel / to consult;beraten
to afford / to achieve (oneself);leisten (sich)
to age / to grow old;altern
to agree / to match / to correspond;übereinstimmen
to amount to / to total / to be;betragen
to amount to / to total / to behave;betragen
to answer / to respond;beantworten
to apply (for) / to promote (oneself);bewerben (sich)
to apply correctly;Richtig bewerben
to appoint / to nominate;ernennen
to argue / to quarrel / to fight;streiten (sich)
to arrive / to depend on;ankommen
to ask / to request / to beg;bitten
to ask the question;die Frage stellen
to assume / to start from / to go out;ausgehen (von)
to attach;anhängen
to avoid;vermeiden
to be;sein
to be active / to engage in / to operate;betätigen (sich)
to be added / to come additionally;hinzukommen
to be called / to mean;heißen
to be difficult (for someone);schwerfallen
to be meant (for each other);bestimmt sein (füreinander)
to be meant (for something or someone);bestimmt sein (für etwas oder jemanden)
to be missing / to lack;fehlen
to be online;online sein
to be overcrowded / packed;überfüllt sein
to be sorry / to regret;leidtun
to be worthwhile / to pay off;lohnen (+ sich)
to bear responsibility / to be responsible;Verantwortung tragen
to become / to get / will (future auxiliary);werden
to become self-employed / to start own business;sich selbstständig machen
to begin / to start;anfangen
to belong (in);gehören (in)
to belong (to) / to be part (of);gehören (zu)
to block / to lock / to disable;sperren
to break / to get damaged;kaputtgehen
to breathe;atmen
to bring / to take;bringen
to bring along;mitbringen
to bring back / to return;zurückbringen
to build / to construct;bauen
to build up / to establish / to construct;aufbauen
to burden / to strain / to charge;belasten
to call / to phone;anrufen
to call back / to recall;zurückrufen
to cancel / to delete / to paint;streichen
to carry / to wear / to bear;tragen
to cause / to trigger;verursachen
to change (trains/buses) / to transfer;umsteigen
to change / to alter;ändern
to change / to alter / to transform;verändern
to choose / to select;aussuchen
to choose / to select / to pick out;aussuchen
to click on;anklicken
to climb;klettern
to close / to lock / to conclude;schließen
to come / to arrive / to get;kommen
to come along;mitkommen
to come back / to return;zurückkommen
to come by / to visit / to pass by;vorbeikommen
to come in / to enter;reinkommen
to commit (crime) / to celebrate (occasion) / to walk on;begehen
to communicate;kommunizieren
to compare;vergleichen
to complain / to lament;beklagen (sich)
to concentrate (oneself) / to focus;konzentrieren (sich)
to confirm;bestätigen
to consider / to take for / to think;halten für
to consist (of);bestehen (aus)
to continue / to go on;weitergehen
to contribute;beitragen
to correct;korrigieren
to cover / to conceal / to hide;verdecken
to cover / to set (table);decken
to cover costs / to bear expenses;Kosten übernehmen
to criticize;kritisieren
to deal with / to occupy oneself (with);beschäftigen (sich) (mit)
to decide;entscheiden
to decide / to resolve / to conclude;beschließen
to decrease / to go back / to decline;zurückgehen
to decrease / to take off / to take (laundry down);abnehmen
to deliver (baby) / to discharge;entbinden
to deliver / to supply;liefern
to demand / to require;fordern
to demonstrate / to protest;demonstrieren
to depart / to drive away / to leave;abfahren
to depend (on);abhängen (von)
to depend / to hang down / to be addicted;abhängen
to describe;beschreiben
to describe / to depict;ausschildern
to destroy;zerstören
to determine / to decide / to set;bestimmen
to determine / to notice / to ascertain;feststellen
to determine / to set / to establish;festlegen
to develop / to evolve;entwickeln
to develop further / to evolve;sich weiterentwickeln
to die;sterben
to disappear / to vanish;verschwinden
to discuss / to talk over;besprechen
to dispose of;entsorgen
to distinguish / to differ / to tell apart;unterscheiden (sich)
to divert / to reroute;umleiten
to divide / to allocate / to schedule;einteilen
to do / to put / to act;tun
to do good / to be good for / to feel good;wohltun
to download;herunterladen
to drink;trinken
to drive / to go / to ride;fahren
to drive away / to leave;wegfahren
to drive off / to set off / to depart;losfahren
to drive up / to start / to hit (with vehicle);anfahren
to eat;essen
to emigrate;auswandern
to enjoy / to savor;genießen
to enter / to register / to record;eintragen
to establish (oneself);etablieren (sich)
to exchange / to communicate / to swap;austauschen (sich)
to exchange / to swap;umtauschen
to exchange / to swap (with each other);austauschen (sich)
to exist / to consist / to pass (exam);bestehen
to expand / to extend / to broaden;erweitern
to expect / to await;erwarten
to experience / to learn (about);erfahren
to experience / to learn (about) / experienced (adj.);erfahren
to export;exportieren
to fail / to cancel / to drop out;ausfallen
to fall / to drop;fallen
to fall / to plunge / to rush;stürzen
to fall asleep;einschlafen
to fight / to struggle / to battle;kämpfen
to find / to think / to consider;finden
to find one's way around;zurechtfinden (sich)
to find out / to discover;herausfinden
to finish / to handle / to get done;erledigen
to finish / to take care of / to get done;erledigen
to fly;fliegen
to follow;folgen
to forget;vergessen
to form / to educate / to constitute;bilden
to freeze / to be cold;frieren
to fulfill / to satisfy / to comply with;erfüllen
to fulfill a wish;einen Wunsch erfüllen
to further develop / to advance;weiterentwickeln
to generate / to earn / to produce (profit);erwirtschaften
to get / to receive / to obtain;bekommen
to get back / to recover;zurückbekommen
to get out / to exit / to quit;aussteigen
to get up / to stand up;aufstehen
to give / to hand / to exist;geben
to give up / to submit / to surrender;aufgeben
to go / to walk / to leave;gehen
to go away / to leave;weggehen
to go out / to assume / to start from;ausgehen
to govern / to rule;regieren
to grow / to increase;wachsen
to grow up;aufwachsen
to guarantee;garantieren
to hand in / to submit / to give away;abgeben
to handle / to deal with / to interact with;umgehen (mit)
to hang / to be suspended;hängen
to have / to possess / to own;haben
to have to leave / to need to go;los müssen
to have with one / to carry;dabei haben
to heat;heizen
to help / to assist;helfen
to hire / to employ / to set (adjust);einstellen
to hit and run / to flee the scene;Fahrerflucht begehen
to hold / to stop / to keep;halten
to hurt / to cause pain;wehtun
to imagine / to introduce (oneself);vorstellen (sich) (etwas)
to improve / to better;verbessern
to improve / to better (oneself);verbessern (sich)
to increase / to gain;zunehmen
to increase / to gain (weight);zunehmen
to indicate / to specify / to show off;angeben
to infect / to pass on (illness);anstecken
to intend / to plan / to undertake;vornehmen (sich)
to interrupt / to break off;unterbrechen
to introduce / to import;einführen
to invest;investieren
to invite;einladen
to keep / to comply with / to maintain;einhalten
to keep / to preserve / to maintain (here: to keep calm);bewahren (hier: Ruhe bewahren)
to keep / to retain / to remember;behalten
to keep calm / to remain calm;Ruhe bewahren
to know (a fact);wissen
to know / to be familiar with;kennen
to know one's way around / to be familiar with;auskennen (+ sich)
to lead / to conduct / to manage;führen
to lead / to manage / to direct;leiten
to lead to / to result in;dazu führen
to learn / to acquire (skill);erlernen
to leave / to abandon / to depart;verlassen
to leave behind / to leave (a message);hinterlassen
to let / to allow / to leave;lassen
to lie / to be located / to rest;liegen
to lift off / to withdraw (money) / to distinguish;abheben
to like;mögen
to listen / to monitor / to tap;abhören
to listen to the lungs;die Lunge abhören
to live together / to coexist;zusammenleben
to load / to charge / to upload;aufladen
to lock / to conclude / to finish;abschließen
to look / to appear / to resemble;aussehen
to look / to watch;schauen
to look at / to watch / to see;ansehen
to lose / to misplace;verlieren
to lose importance / to become less significant;an Bedeutung verlieren
to love / to be fond of;lieb haben
to lower / to reduce;senken
to make / to tie (here: to make contacts);knüpfen (hier: Kontakte knüpfen)
to make decisions;Entscheidungen treffen
to make progress / to get ahead;weiterkommen
to manage / to administer;verwalten
to manufacture / to produce / to make;herstellen
to marvel / to be amazed / to wonder;staunen
to master / to control / to dominate;beherrschen
to measure;messen
to meet / to hit / to affect;treffen
to move (house) / to change clothes;umziehen
to move in together;zusammenziehen
to move in together / to contract;zusammenziehen
to move out / to take off (clothes) / to pull out;ausziehen
to name / to call / to mention;nennen
to neglect / to ignore;vernachlässigen
to negotiate / to bargain;aushandeln
to notice / to observe / to remark;bemerken
to notice / to stand out / to attract attention;auffallen
to observe / to consider / to follow;beachten
to observe / to watch / to monitor;beobachten
to obtain / to procure / to get;beschaffen
to offer / to provide;anbieten
to offer / to provide / to bid;bieten
to originate / to come from;stammen
to overlook / to miss;übersehen
to pack / to wrap;einpacken
to palpate / to scan / to feel;abtasten
to palpate the abdomen;den Bauch abtasten
to participate / to take part;teilnehmen
to pay attention (to) / to watch;achten (auf)
