German;English
ab und zu;now and then / occasionally
Abfall, der, “-e;waste / garbage / refuse
Abfallkalender, der, -;waste collection calendar / garbage schedule
Abfindung, die, -en;severance pay / compensation
Abgas, das, -e;exhaust gas / emission
Abgeordnete, der/die, -n/-n;member of parliament / representative
abhängen (von);to depend (on)
abhören;to listen / to monitor / to tap
ablegen;to take (a test) / to put down / to deposit
abnehmen (hier: die Wäsche);to take down (laundry) / to remove
Absage, die, -n;rejection / cancellation
abschalten;to turn off / to switch off
Abschied, der, -e;farewell / departure
Abschiedsgeschenk, das, -e;farewell gift
abschleppen;to tow (away)
Abschnitt, der, -e;section / segment / paragraph
Abstellplatz, der, “-e;parking space / storage place
abtasten;to palpate / to scan / to feel
Abteilung, die, -en;department
Abwasser, das, “-;wastewater / sewage
Abwechslung, die, -en;variety / change / diversion
Abzug, der, “-e;deduction / subtraction / trigger
achten (auf);to pay attention (to) / to watch
Achtung, die, Sg.;attention / respect
AG (= Aktiengesellschaft), die, -en;corporation / joint-stock company
Akku, der, -s;rechargeable battery
akzeptieren;to accept
Album, das, Alben;album
alleinerziehend;single-parent
alleinstehend;single / unmarried / living alone
allerdings;however / though / certainly
Allgemeine Geschäftsbedingungen (AGB), Pl.;terms and conditions
Alltag, der, Sg.;everyday life / daily routine
alltäglich;everyday / common / mundane
als (Konjunktion);as / when / than
Altenheim, das, -e;nursing home / old people's home
altern;to age / to grow old
Altern, das, Sg.;aging
Altersvorsorge, die, Sg.;retirement provision / old-age provision
Altpapier, das, Sg.;waste paper
Aluminiumdose, die, -n;aluminum can
Amtssitz, der, -e;official residence / seat of office
AN-Anteil (= Arbeitnehmeranteil), der, -e;employee contribution
andererseits;on the other hand
ändern;to change / to alter
Änderung, die, -en;change / modification
anfahren;to start / to drive up / to hit (with vehicle)
anfangs;initially / at first
anfassen;to touch / to handle
angeben;to indicate / to specify / to show off
angemessen;appropriate / suitable / adequate
Angestellte, der/die, -n;employee (white-collar)
anhängen;to attach
anklicken;to click on
Anlage, die, -n;attachment / enclosure / system / facility
Anregung, die, -en;suggestion / idea / inspiration
anschauen;to watch / to look at
ansehen;to look at / to watch / to see
anspruchsvoll;demanding / challenging / sophisticated
anstatt;instead of
anstecken;to infect / to pass on (illness)
Anteil, der, -e;share / portion
Arbeitnehmerprotest, der, -e;employee protest / worker protest
Arbeitsalltag, der, Sg.;daily work routine
Arbeitsatmosphäre, die, Sg.;work atmosphere
Arbeitshose, die, -n;work pants / work trousers
Arbeitskonflikt, der, -e;labor dispute / work conflict
arbeitslos;unemployed
Arbeitslosigkeit, die, Sg.;unemployment
Arbeitsrecht, das, Sg.;labor law / employment law
Arbeitsstelle, die, -n;job / workplace / position
Arbeitstätigkeit, die, -en;work activity / job / employment
Arbeitswelt, die, Sg.;world of work / working environment
Ärger, der, Sg.;anger / trouble / annoyance
atmen;to breathe
Atmosphäre, die, Sg.;atmosphere
Atommüll, der, Sg.;nuclear waste
attraktiv;attractive / appealing
aufbauen;to build up / to establish / to construct
Aufgabenbereich, der, -e;area of responsibility / scope of duties
aufgeregt;excited / agitated / nervous
aufnehmen (hier: einen Kredit aufnehmen);to take out (a loan)
aufpassen (auf);to watch out (for) / to look after
aufstellen;to set up / to place / to establish
Aufstiegsmöglichkeit, die, -en;career advancement opportunity
Auftritt, der, -e;performance / appearance / act
aufwachsen;to grow up
ausbilden;to train / to educate / to apprentice
Ausbildungsplatz, der, “-e;training position / apprenticeship place
Ausdauertraining, das, Sg.;endurance training
ausdrucken;to print out
Ausfahrt, die, -en;exit / driveway
Ausgabe, die, -n;edition / issue / release
ausgehen (von);to assume / to start from / to go out
ausgezeichnet;excellent / outstanding / distinguished
aushandeln;to negotiate / to bargain
auskennen (sich);to know one's way around / to be familiar with
ausräumen;to resolve / to clear out / to dispel
ausreichen;to suffice / to be enough
ausruhen (sich);to rest / to recover
Aussage, die, -n;statement / testimony
ausschildern;to describe / to depict
außerdem;furthermore / besides / in addition
Aussicht, die, Sg.;view / prospect / outlook
aussteigen;to get out / to exit / to quit
aussuchen;to choose / to select / to pick out
austauschen (sich);to exchange / to swap (with each other)
Auswahl, die, Sg.;selection / choice / variety
auswandern;to emigrate
Auszeichnung, die, -en;award / distinction
Auszubildender/-e, der/die, -n;trainee / apprentice
Autobesitzer/in, der/die, -/-nen;car owner
autobiographisch;autobiographical
Autocheck, der, -s;car check / vehicle inspection
Autofahrer/in, der/die, -/-nen;car driver
Automobilbranche, die, Sg.;automotive industry (sector)
Automobilindustrie, die, Sg.;automotive industry
Automobilzulieferer, der, -;automotive supplier
Autoproduktion, die, Sg.;car production
Autor/in, der/die, -en/-nen;author
Autoteil, das, -e;car part
Autoverkehr, der, Sg.;car traffic
