German;English
Salbe, die, -n;ointment, cream
Sand, der, Sg.;sand
Satz, der, -¨e;sentence; set
sauber;clean
Säule, die, -n;pillar, column
Schachtel, die, -n;box
schade;too bad, a pity
schaden;to harm, to damage
Schaden, der, -¨;damage, loss
schaffen;to manage, to accomplish; to create
Schalter, der, -;counter, window; switch
schenken;to give (as a gift)
Schere, die, -n;scissors
Schichtarbeit, die, -en;shift work
Schlafsack, der, -¨e;sleeping bag
schlank;slim
Schleier, der, -;veil
schleudern;to spin, to skid, to sling
schließen;to close
schließen (hier: Freundschaften schließen);to form, to make (here: to form friendships)
schlimm;bad, terrible
Schmerzmittel, das, -;painkiller
Schmuck, der, Sg.;jewelry
Schnitzel, das, -;cutlet, schnitzel
Schraube, die, -n;screw
schriftlich;written, in writing
Schritt, der, -e;step
Schulabschluss, der, -¨e;school leaving qualification
Schulbildung, die, Sg.;school education
Schulbuch, das, -¨er;school book
Schulhof, der, -¨e;schoolyard
Schuljahr, das, -e;school year
Schulkantine, die, -n;school cafeteria
Schulpflicht, die, Sg.;compulsory education
Schulsystem, das, -e;school system
Schulweg, der, -e;way to school, school route
Schulzeit, die, Sg.;school days, school time
Schutz, der, Sg.;protection
schwach;weak
Schwarze Brett, das, -¨er;notice board, bulletin board
Schwerpunkt, der, -e;main focus, emphasis
Schwiegereltern, Pl.;parents-in-law
schwierig;difficult
Schwimmunterricht, der, Sg.;swimming lessons
Selbstständigkeit, die, Sg.;independence, self-employment
senden;to send
Sendung, -en;broadcast, program
Start-Taste, die, -n;start button
Stau, der, -s;traffic jam
Staubsauger, der, -;vacuum cleaner
stehlen;to steal
stellen (hier: eine Frage stellen);to place, to put (here: to ask a question)
Stellenangebot, das, -e;job offer, job vacancy
stimmen (1): Stimmt so!;to be correct (1): Keep the change! / That's correct as is.
stimmen (2): Das stimmt (nicht);to be correct (2): That's (not) correct.
Stimmung, die, Sg.;mood, atmosphere
Störung die, -en;disturbance, fault, interference
Strafe, die, -n;fine, penalty
streichen;to paint, to apply (paint); to strike
streiten (sich);to argue
streng;strict
Stress, der, Sg.;stress
Stromkabel, das, -;power cable
Studienplatz, der, -¨e;university place
Studium, das, Sg.;studies (at university)
Stundenlohn, der, -¨e;hourly wage
Stundenplan, der, -¨e;timetable, schedule
Sturm, der, -¨e;storm
supermodern;super-modern
Support, der, Sg.;support
Süßigkeiten, Pl.;sweets, candy
sympathisch;pleasant, likeable, sympathetic
